LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,domainArticleSingular,domainWrittenSingular,domainWrittenPlural,rangeArticleSingular,rangeWrittenSingular,rangeWrittenPlural,passivePreposition
Play_2,verb,actuar,act£a,act£o,actuado,TransitiveFrame,range,domain,1,dbo:portrayer,dbo:FictionalCharacter,dbo:Person,masculine,car cter ficticio,caracteres ficticios,feminine,ciudad,ciudades,por
publicar,verb,publicar,publica,public¢,publicado,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Book,dbo:Agent,masculine,libro,libros,masculine,agente,agentes,por
dirigir,verb,dirigir,dirige,dirigi¢,dirigido,TransitiveFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person,feminine,pel¡cula,pel¡culas,feminine,ciudad,ciudades,por
atender,verb,atender,atiende,atendi¢,atendido,TransitiveFrame,range,domain,1,dbo:targetAirport,dbo:Airline,dbo:Airport,feminine,aerol¡nea,aerol¡neas,masculine,aeropuerto,aeropuertos,por
dise¤ar,verb,dise¤ar,dise¤a,dise¤¢,dise¤ado,TransitiveFrame,range,domain,1,dbo:architect,dbo:ArchitecturalStructure,dbo:Architect,feminine,estructura arquitect¢nica,estructuras arquitect¢nicas,masculine,arquitecto,arquitectos,por
expresar,verb,expresar,expresa,expres¢,expresado,TransitiveFrame,range,domain,1,dbo:connotation,dbo:Colour,owl:Thing,masculine,color,colores,-,-,-,por
desarrollar,verb,desarrollar,desarrolla,desarroll¢,desarrollado,TransitiveFrame,range,domain,1,dbo:developer,dbo:VideoGame,dbo:Agent,masculine,videojuego,videojuegos,masculine,agente,agentes,por
expresar,verb,expresar,expresa,expres¢,expresado,TransitiveFrame,range,domain,1,dbo:connotation,dbo:Colour,owl:Thing,masculine,color,colores,-,-,-,por
Casarse_1,verb,casarse,casa,casa,Casado,TransitiveFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,feminine,persona,personas,feminine,persona,personas,por
Casarse_2,verb,casarse-con,casa-con,casa-con,Casado-con,TransitiveFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,feminine,persona,personas,feminine,persona,personas,por
moderar,verb,moderar,modera,moder¢,moderado,TransitiveFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,feminine,serie televisiva,series televisivas,feminine,persona,personas,por
escribir_1,verb,escribir,escribe,escribi¢,escrito,TransitiveFrame,range,domain,1,dbo:writer,dbo:Song,dbo:Person,neuter,canci¢n,canciones,feminine,persona,personas,por
escribir_2,verb,escribir,escribe,escribi¢,escrito,TransitiveFrame,range,domain,1,dbo:composer,dbo:TelevisionShow,dbo:Person,feminine,serie televisiva,series televisivas,feminine,persona,personas,por
escribir_3,verb,escribir,escribe,escribi¢,escrito,TransitiveFrame,range,domain,1,dbo:author,dbo:Book,dbo:Person,feminine,persona,personas,masculine,libro,libros,por
compuso,verb,compuso la banda sonora,compuso la banda sonora,compuso la banda sonora,compuso la banda sonora,TransitiveFrame,range,domain,1,dbo:musicComposer,dbo:Film,dbo:Person,feminine,pel¡cula,pel¡culas,feminine,persona,personas,von
fundar_1,verb,fundar,funda,fund¢,fundado,TransitiveFrame,range,domain,1,dbo:foundedBy,dbo:Agent,dbo:Pope,feminine,compa¤ia,compa¤ias,masculine,Papa,Papas,por
descubrir,verb,descubrir,descubre,descubri¢,descubierto,TransitiveFrame,range,domain,1,dbo:discoverer,dbo:CelestialBody,dbo:Person,masculine,cuerpo celeste,cuerpos celestes,feminine,persona,personas,por
influenciar,verb,influenciar,influencia,influenci¢,influenciado,TransitiveFrame,range,domain,1,dbo:influencedBy,dbo:Person,dbo:Person,feminine,persona,personas,feminine,persona,personas,por
inspirar_1,verb,inspirar,inspira,inspir¢,inspirado,TransitiveFrame,domain,range,1,dbo:influenced,dbo:Artist,dbo:Artist,masculine,artista,artistas,masculine,artista,artistas,por
inspirar_2,verb,inspirar,inspira,inspir¢,inspirado,TransitiveFrame,domain,range,1,dbo:influenced,dbo:Person,dbo:Person,feminine,ciudad,ciudades,feminine,ciudad,ciudades,por
dise¤ar_1,verb,dise¤ar,dise¤a,dise¤¢,dise¤ado,TransitiveFrame,range,domain,1,dbo:architect,dbo:Bridge,dbo:Person,masculine,puente,puentes,feminine,persona,personas,por
dise¤ar_2,verb,dise¤ar,dise¤a,dise¤¢,dise¤ado,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Agent,feminine,serie televisiva,series televisivas,masculine,agente,agentes,por
dise¤ar_3,verb,dise¤ar,dise¤a,dise¤¢,dise¤ado,TransitiveFrame,range,domain,1,dbo:author,dbo:Website,dbo:Person,masculine,sitio web,sitios web,feminine,persona,personas,por
hablar,verb,hablar,habla,habl¢,hablado,TransitiveFrame,range,domain,1,dbo:language,dbo:Language,dbo:Country,masculine,idioma,idiomas,c,pa¡s,pa¡ses,por
paint,verb,pintar,pinta,pint¢,pintado,TransitiveFrame,range,domain,1,dbp:artist,dbo:Work,dbo:Person,masculine,trabajo,trabajo,feminine,persona,personas,por
primero_en_ascender_al,verb,primero-en-ascender-al,primero-en-asciende-al,primero-en-asendi¢-al,primero-en-ascendido-al,TransitiveFrame,range,domain,1,dbo:firstAscentPerson,dbo:Mountain,feminine,monta¤a,monta¤as,dbo:Person,feminine,persona,personas,por
contiene,verb,contiene,contiene,contiene,contiene,TransitiveFrame,domain,range,1,dbo:ingredient,dbo:Food,owl:Thing,feminine,comida,comida,-,-,-,por
participate_in_2,verb,participar,participa,particip¢,participado,TransitiveFrame,range,domain,1,dbo:battle,dbo:Person,dbo:MilitaryConflict,masculine,soldado,soldados,masculine,conflicto militar,conflictos militares,por
cuesta,verb,costar,cuesta,cost¢,costado,TransitiveFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double,feminine,pel¡cula,pel¡culas,-,-,-,por
actu¢,verb,actu¢-como,actu¢-como,actu¢-como,actu¢-como,TransitiveFrame,range,domain,1,dbp:portrayer,dbo:FictionalCharacter,dbo:Person,masculine,car cter ficticio,caracteres ficticios,feminine,persona,personas,por
producen,verb,producen,producen,producen,desarrollado,TransitiveFrame,domain,range,1,dbo:product,dbo:Company,dbo:Ship,feminine,compa¤ia,compa¤ias,masculine,barco,barcos,por
