"ID","status","sentence","sparqlQueGG","sparqlQald","TP","FP","FN","Precision","Recall","Fscore"
"57","WORKS","Which rivers flow into a German lake?","SELECT ?subjOfProp WHERE { ?subjOfProp <http://dbpedia.org/ontology/inflow> ?Arg .}","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/River> . ?x <http://dbpedia.org/ontology/inflow> ?uri ; a <http://dbpedia.org/ontology/Lake> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> }","0.0","105.0","2846.0","0.0","0.0","0.0"
"66","WORKS","Who is the governor of Wyoming?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/governor> ?objOfProp .}","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wyoming> <http://dbpedia.org/property/governor> ?uri }","0.0","0.0","2061.0","0.0","0.0","0.0"
"79","WORKS","Show me everyone who was born on Halloween.","SELECT ?subjOfProp WHERE { ?subjOfProp <http://dbpedia.org/ontology/birthDate> ?Arg .}","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> { ?uri <http://dbpedia.org/ontology/birthDate> ?date } UNION { ?uri <http://dbpedia.org/property/birthDate> ?date } <http://dbpedia.org/resource/Halloween> <http://dbpedia.org/property/date> ?date }","0.0","0.0","598184.0","0.0","0.0","0.0"
"82","WORKS","Which actors were born in Germany?","SELECT ?subjOfProp WHERE { ?subjOfProp <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Germany_(European_Parliament_constituency)> .}","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Actor> { ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Germany> } UNION { ?uri <http://dbpedia.org/ontology/birthPlace> ?place . ?place <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> } }","0.0","26.0","1.0","0.0","0.0","0.0"
"84","WORKS","Who produced the most films?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/executiveProducer> ?objOfProp .}","SELECT DISTINCT ?uri WHERE { ?film <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?film <http://dbpedia.org/ontology/producer> ?uri . } ORDER BY DESC(COUNT(?film)) OFFSET 0 LIMIT 1","0.0","0.0","5485.0","0.0","0.0","0.0"
"87","WORKS","Who created Goofy?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/author> ?objOfProp .}","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Goofy> <http://dbpedia.org/ontology/creator> ?uri }","0.0","3.0","26788.0","0.0","0.0","0.0"
"112","WORKS","Which actor played Chewbacca?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Chewbacca> <http://dbpedia.org/ontology/portrayer> ?objOfProp .}","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chewbacca> <http://dbpedia.org/ontology/portrayer> ?uri }","2.0","0.0","0.0","1.0","1.0","1.0"
"119","WORKS","What other books have been written by the author of The Fault in Our Stars?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/The_Fault_in_Our_Stars> <http://dbpedia.org/ontology/author> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> SELECT ?books WHERE { ?books dbo:author <http://dbpedia.org/resource/John_Green_(author)> }","0.0","6.0","1.0","0.0","0.0","0.0"
"129","WORKS","Who wrote The Hunger Games?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/composer> ?objOfProp .}","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Hunger_Games> <http://dbpedia.org/property/author> ?uri }","0.0","0.0","5465.0","0.0","0.0","0.0"
"132","WORKS","Where is the residence of the prime minister of Spain?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/residence> ?objOfProp .}","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Prime_Minister_of_Spain> <http://dbpedia.org/property/residence> ?uri }","0.0","0.0","15356.0","0.0","0.0","0.0"
"137","WORKS","Which television shows were created by John Cleese?","SELECT ?subjOfProp WHERE { ?subjOfProp <http://dbpedia.org/ontology/creator> <http://dbpedia.org/resource/John_Cleese> .}","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/TelevisionShow> ; <http://dbpedia.org/ontology/creator> <http://dbpedia.org/resource/John_Cleese> }","7.0","0.0","0.0","1.0","1.0","1.0"
"144","WORKS","How many children does Eddie Murphy have?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/child> ?objOfProp .}","SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Eddie_Murphy> <http://dbpedia.org/property/children> ?n }","0.0","0.0","13958.0","0.0","0.0","0.0"
"158","WORKS","List all episodes of the first season of the HBO television series The Sopranos!","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/seasonNumber> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:series res:The_Sopranos ; dbo:seasonNumber 1 }","0.0","0.0","41.0","0.0","0.0","0.0"
"162","WORKS","Who played Agent Smith in Matrix?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/portrayer> ?objOfProp .}","PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?uri WHERE { res:Agent_Smith <http://dbpedia.org/ontology/portrayer> ?uri }","2.0","0.0","4754.0","1.0","4.2052145E-4","8.4068935E-4"
"173","WORKS","Give me all cities in New Jersey with more than 100000 inhabitants.","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/isPartOf> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:City ; dbo:isPartOf res:New_Jersey ; dbo:populationTotal ?inhabitants FILTER ( ?inhabitants > 100000 ) }","4.0","0.0","42596.0","1.0","9.389671E-5","1.8777579E-4"
"184","WORKS","Who produced films starring Natalie Portman?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/executiveProducer> ?objOfProp .}","SELECT DISTINCT ?uri WHERE { ?film a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Natalie_Portman> ; <http://dbpedia.org/ontology/producer> ?uri }","18.0","18.0","5467.0","0.5","0.0032816774","0.006520558"
"189","WORKS","What is the largest city in america?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/largestCity> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?lcity WHERE { dbr:United_States dbo:largestCity ?lcity }","1.0","0.0","3439.0","1.0","2.9069767E-4","5.8122637E-4"
"190","WORKS","Who was the pope that founded the Vatican Television?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/foundedBy> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT ?uri WHERE { ?uri rdf:type dbo:Pope . res:Vatican_Television_Center dbo:foundedBy ?uri }","1.0","0.0","11550.0","1.0","8.657259E-5","1.7313019E-4"
"191","WORKS","Who discovered Ceres?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> dbo:discoverer ?uri }","1.0","0.0","0.0","1.0","1.0","1.0"
"192","WORKS","Who is the king of the Netherlands?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Netherlands> <http://dbpedia.org/ontology/leader> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { res:Netherlands dbo:leader ?uri . ?uri rdf:type dbo:Royalty }","1.0","0.0","1.0","1.0","0.5","0.6666667"
"195","WORKS","Who wrote the book Les Piliers de la terre?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/composer> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:The_Pillars_of_the_Earth dbo:author ?uri }","0.0","1.0","5465.0","0.0","0.0","0.0"
"196","WORKS","Which airports does Yeti Airlines serve?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Yeti_Airlines> <http://dbpedia.org/ontology/targetAirport> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Yeti_Airlines dbo:targetAirport ?uri }","3.0","0.0","0.0","1.0","1.0","1.0"
"197","WORKS","Where is the birthplace of Goethe?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/composer> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?Goethe WHERE { dbr:Johann_Wolfgang_von_Goethe dbo:birthPlace ?Goethe }","0.0","2.0","5465.0","0.0","0.0","0.0"
"200","WORKS","Who created Wikipedia?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Wikipedia> <http://dbpedia.org/ontology/author> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Wikipedia dbo:author ?uri }","2.0","0.0","0.0","1.0","1.0","1.0"
"203","WORKS","In which country is Mecca located?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Mecca> <http://dbpedia.org/ontology/country> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Mecca dbo:country ?uri }","1.0","0.0","0.0","1.0","1.0","1.0"
"204","WORKS","Who played Gus Fring in Breaking Bad?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/portrayer> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Gus_Fring dbo:portrayer ?uri }","1.0","0.0","4755.0","1.0","2.1026072E-4","4.2043303E-4"
"205","WORKS","In which country does the Nile start?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Nile> <http://dbpedia.org/ontology/sourceCountry> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Nile dbo:sourceCountry ?uri }","2.0","0.0","0.0","1.0","1.0","1.0"
"208","WORKS","Who is the coach of Ankara's ice hockey team?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/coach> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?x dbo:city res:Ankara ; dbo:league res:Turkish_Ice_Hockey_First_League ; dbo:coach ?uri }","1.0","0.0","7680.0","1.0","1.3019139E-4","2.603489E-4"
"209","WORKS","How large is the area of UK?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/areaTotal> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?area WHERE { dbr:United_Kingdom dbo:areaTotal ?area }","2.0","0.0","47946.0","1.0","4.1711854E-5","8.342023E-5"
"210","WORKS","Who created Batman?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/author> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Batman dbo:creator ?uri }","1.0","1.0","26787.0","0.5","3.733015E-5","7.465472E-5"
"212","WORKS","Who are the developers of DBpedia?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/DBpedia> <http://dbpedia.org/ontology/developer> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:DBpedia dbo:developer ?uri }","3.0","0.0","0.0","1.0","1.0","1.0"
"213","WORKS","Give me all movies directed by Francis Ford Coppola.","SELECT ?subjOfProp WHERE { ?subjOfProp <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Francis_Ford_Coppola> .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Film ; dbo:director res:Francis_Ford_Coppola }","28.0","0.0","0.0","1.0","1.0","1.0"
"215","WORKS","What is the location of the Houses of Parliament?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/locatedInArea> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT ?uri WHERE { res:Palace_of_Westminster dbo:location ?uri }","1.0","1.0","6933.0","0.5","1.442169E-4","2.8835062E-4"
"216","WORKS","how much is the elevation of Düsseldorf Airport ?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/elevation> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?ele WHERE { dbr:Düsseldorf_Airport dbo:elevation ?ele } LIMIT 1","1.0","0.0","17522.0","1.0","5.7067853E-5","1.1412919E-4"
"220","WORKS","Who is the editor of Forbes?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Forbes> <http://dbpedia.org/ontology/editor> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Forbes dbo:editor ?uri }","1.0","0.0","0.0","1.0","1.0","1.0"
"221","WORKS","Which awards did Douglas Hofstadter win?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Douglas_Hofstadter> <http://dbpedia.org/ontology/award> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Douglas_Hofstadter dbo:award ?uri }","3.0","0.0","0.0","1.0","1.0","1.0"
"224","WORKS","Which river does the Brooklyn Bridge cross?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Brooklyn_Bridge> <http://dbpedia.org/ontology/crosses> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Brooklyn_Bridge dbo:crosses ?uri }","1.0","0.0","0.0","1.0","1.0","1.0"
"225","WORKS","How many people live in Poland?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Poland dbo:populationTotal ?uri }","1.0","0.0","0.0","1.0","1.0","1.0"
"227","WORKS","Is the wife of president Obama called Michelle?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/spouse> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> ASK WHERE { res:Barack_Obama dbo:spouse ?spouse . ?spouse rdfs:label ?name FILTER regex(?name, Michelle) }","0.0","0.0","35022.0","0.0","0.0","0.0"
"230","WORKS","how much is the total population of  european union?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/populationTotal> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?europop WHERE { dbr:European_Union dbo:populationTotal ?europop }","1.0","0.0","50542.0","1.0","1.9785133E-5","3.9569484E-5"
"231","WORKS","Give me all launch pads operated by NASA.","SELECT ?subjOfProp WHERE { ?subjOfProp <http://dbpedia.org/ontology/operator> <http://dbpedia.org/resource/NASA> .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:LaunchPad ; dbo:operator res:NASA }","7.0","0.0","2.0","1.0","0.7777778","0.875"
"232","WORKS","Who developed the video game World of Warcraft?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/developer> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:World_of_Warcraft dbo:developer ?uri }","1.0","0.0","9417.0","1.0","1.0617966E-4","2.1233676E-4"
"237","WORKS","Where is Sungkyunkwan University?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/composer> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT DISTINCT ?country WHERE { dbr:Sungkyunkwan_University dbo:city ?city ; dbo:country ?country }","0.0","1.0","5465.0","0.0","0.0","0.0"
"238","WORKS","Who is the author of the interpretation of dreams?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/The_Interpretation_of_Dreams> <http://dbpedia.org/ontology/author> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?Author WHERE { dbr:The_Interpretation_of_Dreams dbo:author ?Author }","1.0","0.0","0.0","1.0","1.0","1.0"
"241","WORKS","Who developed Slack?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Slack_(software)> <http://dbpedia.org/ontology/developer> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { ?uri dbo:product <http://dbpedia.org/resource/Slack_(software)> }","1.0","0.0","0.0","1.0","1.0","1.0"
"242","WORKS","Where is the origin of Carolina reaper?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/composer> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?uri WHERE { dbr:Carolina_Reaper dbo:origin ?uri}","0.0","1.0","5465.0","0.0","0.0","0.0"
"243","WORKS","In which year was Rachel Stevens born?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Rachel_Stevens dbo:birthYear ?uri }","1.0","0.0","0.0","1.0","1.0","1.0"
"244","WORKS","How often did Jane Fonda marry?","SELECT (COUNT(DISTINCT ?objOfProp) as ?c) WHERE { <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { res:Jane_Fonda dbo:spouse ?uri }","1.0","0.0","0.0","1.0","1.0","1.0"
"245","WORKS","Was the wife of president Lincoln called Mary?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/spouse> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> ASK WHERE { res:Abraham_Lincoln dbo:spouse ?spouse . ?spouse rdfs:label ?name FILTER regex(?name, Mary) }","0.0","0.0","35022.0","0.0","0.0","0.0"
"246","WORKS","Which cities does the Weser flow through?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Weser dbo:city ?uri }","7.0","0.0","0.0","1.0","1.0","1.0"
"252","WORKS","When was John Adams born?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/John_Adams_(ice_hockey,_born_1982)> <http://dbpedia.org/ontology/birthDate> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?date WHERE { res:John_Adams dbo:birthDate ?date }","0.0","1.0","1.0","0.0","0.0","0.0"
"253","WORKS","Which companies produce hovercrafts?","SELECT ?subjOfProp WHERE { ?subjOfProp <http://dbpedia.org/ontology/product> ?Arg .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Company ; dbo:product res:Hovercraft }","3.0","0.0","20947.0","1.0","1.4319809E-4","2.8635518E-4"
"254","WORKS","Who was the wife of U.S. president Lincoln?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/spouse> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:spouse ?uri }","1.0","0.0","35021.0","1.0","2.855348E-5","5.7105328E-5"
"256","WORKS","How many people live in the capital of Australia?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Australia> <http://dbpedia.org/ontology/capital> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?num WHERE { res:Australia dbo:capital ?x . ?x dbo:populationTotal ?num }","0.0","1.0","1.0","0.0","0.0","0.0"
"259","WORKS","Who composed the soundtrack for Cameron's Titanic?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/musicComposer> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Titanic_(1997_film)> dbo:musicComposer ?uri }","1.0","0.0","15972.0","1.0","6.260565E-5","1.2520347E-4"
"264","WORKS","Who was the successor of John F. Kennedy?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/successor> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:John_F._Kennedy dbo:successor ?uri }","3.0","0.0","90752.0","1.0","3.305603E-5","6.6109875E-5"
