QALD id,match status,QALD question,QueGG question,comment,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
10,0,┬┐Qui├®n estuvo casado con el presidente Chirac?,,,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri
WHERE { 
 res:Jacques_Chirac dbo:spouse ?uri .
}",,0,1,1,0,0,0
11,0.7407407407,┬┐De qu├® muri├│ Bruce Carver?,"""┬┐De qu├® muri´┐¢ Richard Gere?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
 res:Bruce_Carver dbo:deathCause ?uri . 
}","select ?o 

{

 <http://dbpedia.org/resource/Richard_Gere> <http://dbpedia.org/ontology/deathCause> ?o . 

}",0,1,1,0,0,0
12,0.8,┬┐Qui├®n pint├│ el Cristo en la tormenta en el lago de Galilea?,"""┬┐Qu├® pintar La tormenta en el mar de Galilea?""",,"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:The_Storm_on_the_Sea_of_Galilee dbp:artist ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/The_Storm_on_the_Sea_of_Galilee> <http://dbpedia.org/property/artist> ?o . 

}",1,0,0,1,1,1
13,0.7222222222,┬┐Por qu├® ciudades pasa el r├¡o Weser?,"""┬┐Por qu├® ciudades abrevia The Tiger?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?uri . },"select ?s 

{

 ?s <http://dbpedia.org/ontology/abbreviation> 'The Tiger'@en 

}",0,1,7,0,0,0
14,0,┬┐Cu├íntos asientos tiene el estadio del FC Porto?,,,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?x . ?x <http://dbpedia.org/ontology/seatingCapacity> ?n . },,0,1,1,0,0,0
15,0,┬┐Con qui├®n est├í casada la hija de Robert Kennedy?,,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?child . ?child <http://dbpedia.org/ontology/spouse> ?uri . },,0,1,1,0,0,0
16,0,┬┐Qu├® libros de Kerouac han sido publicados por Viking Press?,,,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> . ?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> . ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . },,0,1,29,0,0,0
17,0.9285714286,┬┐C├│mo de alta es Amazon Eve?,"""┬┐C├│mo in alta es Amazon Eve?""",,SELECT DISTINCT ?height WHERE { <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height> ?height . },"select ?o 

{

 <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height> ?o . 

}",1,0,0,1,1,1
18,0.7179487179,┬┐En qu├® museo est├í expuesto el Grito de Munch?,"""┬┐En qu├® museos exhibit El grito?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
 res:The_Scream dbo:museum ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/The_Scream> <http://dbpedia.org/ontology/museum> ?o . 

}",1,0,0,1,1,1
19,0.8636363636,┬┐Quen escribi├│ el libro Los pilares de la Tierra?,"""┬┐Qu├® escribir Los pilares de la Tierra?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:The_Pillars_of_the_Earth dbo:author ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/The_Pillars_of_the_Earth> <http://dbpedia.org/ontology/author> ?o . 

}",1,0,0,1,1,1
21,0.9090909091,┬┐Qui├®n descubri├│ Ceres?,"""┬┐Qu├® descubrir Ceres?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer> ?o . 

}",1,0,0,1,1,1
22,0.7179487179,┬┐Por qu├® r├¡o cruza la Brooklyn Bridge?,"""┬┐Por qu├® r´┐¢os cruzar Puente de Brooklyn?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
 res:Brooklyn_Bridge dbo:crosses ?uri . 
}","select ?o 

{

 <http://dbpedia.org/resource/Brooklyn_Bridge> <http://dbpedia.org/ontology/crosses> ?o . 

}",1,0,0,1,1,1
23,0,┬┐Qui├®n era llamado Frank The Tank?,,,"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
 ?uri dbp:nickname 'Frank The Tank'@en . 
}",,0,1,1,0,0,0
24,0.8266666667,┬┐Cu├íl es el pa├¡s m├ís grande del mundo?,"""┬┐Cu├íl es estadio m´┐¢s grande de Mundo?""",,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/areaTotal> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,"SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Stadium> . ?subjOfProp <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/World> . ?subjOfProp <http://dbpedia.org/ontology/seatingCapacity> ?num . 

} ORDER BY DESC(?num) LIMIT 1",0,1,1,0,0,0
25,0.7666666667,┬┐Qui├®n es el alcalde de Par├¡s?,"""┬┐Cu├íles son alcaldes de Par├¡s?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/leaderName> ?o . 

}",0,1,1,0,0,0
26,0,┬┐Qui├®n es el entrenador del equipo de hockey sobre hielo de Ankara?,,,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Ankara> . ?x <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> . ?x <http://dbpedia.org/ontology/coach> ?uri . },,0,1,1,0,0,0
27,0,┬┐Quien es el alcalde de la capital de la Polinesia Francesa?,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
 res:French_Polynesia dbo:capital ?x .
 ?x dbo:mayor ?uri .
}",,0,1,1,0,0,0
28,0.8915662651,┬┐Qu├® premios ha ganado Douglas Hofstadter?,"""┬┐En qu├® premios ganar Douglas Hofstadter?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
 res:Douglas_Hofstadter dbo:award ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Douglas_Hofstadter> <http://dbpedia.org/ontology/award> ?o . 

}",3,0,0,1,1,1
29,0,┬┐Cu├ínto cuesta la pel├¡cula de Lego?,,,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget> ?n . },,0,1,1,0,0,0
30,0.9411764706,┬┐D├│nde empieza Piccadilly?,"""┬┐D├│nde empez´┐¢ Piccadilly?""",,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/routeStart> <http://dbpedia.org/resource/Piccadilly>. },"select ?s 

{

 ?s <http://dbpedia.org/ontology/routeStart> <http://dbpedia.org/resource/Piccadilly> . 

}",1,0,0,1,1,1
32,0.7733333333,┬┐Quien actu├│ como el agente Smith en Matrix?,"""┬┐Qui├®n actu´┐¢ como Agente Smith?""",,"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
 res:Agent_Smith dbp:portrayer ?uri . 
}","select ?o 

{

 <http://dbpedia.org/resource/Agent_Smith> <http://dbpedia.org/property/portrayer> ?o . 

}",2,0,0,1,1,1
33,0,┬┐Cu├íntos idiomas se hablan en Turkmenist├ín?,,,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE { <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?x . },,0,1,1,0,0,0
34,0.7608695652,┬┐En qu├® pel├¡culas act├║an Julia Roberts y Richard Gere?,"""┬┐En qu├® pel´┐¢cula actuado Richard Gere?""",,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> . ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Gere> . },"select ?s 

{

 ?s <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Gere> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . 

}",2,39,37,0.0487804878,0.05128205128,0.05
35,0.8,┬┐En qu├® pa├¡s nace el Ganges?,"""┬┐En qu├® actor nacer Ganges?""",,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
 res:Ganges dbo:sourceCountry ?uri .
}","select ?s 

{

 ?s <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Ganges> . ?s <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Actor> . 

}",0,1,1,0,0,0
36,0.8955223881,┬┐En que a├▒o naci├│ Rachel Stevens?,"""┬┐En qu├® a´┐¢o nacido Rachel Stevens?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear> ?o . 

}",1,0,0,1,1,1
38,0.8333333333,┬┐D├│nde naci├│ Bach?,"""┬┐D├│nde naci´┐¢ Cher?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:Johann_Sebastian_Bach dbo:birthPlace ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Cher> <http://dbpedia.org/ontology/birthPlace> ?o . 

}",0,1,1,0,0,0
39,0.9761904762,┬┐Cu├íntas veces ha estado casada Jane Fonda?,"""┬┐Cu├íntas veces ha estado casa Jane Fonda?""",,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE { <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri . },"select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE 

{

 <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?objOfProp . 

}",1,0,0,1,1,1
40,0.9032258065,┬┐Qui├®n fue el primero en ascender al Monte Everest?,"""┬┐Qu├® primero en ascender al Monte Everest?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
 res:Mount_Everest dbo:firstAscentPerson ?uri . 
}","select ?o 

{

 <http://dbpedia.org/resource/Mount_Everest> <http://dbpedia.org/ontology/firstAscentPerson> ?o . 

}",4,0,0,1,1,1
41,0.9722222222,┬┐Cu├íntas personas viven en Polonia?,"""┬┐Cu├íntas Personas viven en Polonia?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?o . 

}",1,0,0,1,1,1
42,0,┬┐Donde est├ín situadas las Casas del Parlamento?,,,SELECT ?uri WHERE { <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/location> ?uri . },,0,1,3,0,0,0
44,0.75,┬┐En qu├® pa├¡s se encuentra el lago Limerick?,"""┬┐En qu├® masculine se encuentra Limerick Lake?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
 res:Limerick_Lake dbo:country ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Limerick_Lake> <http://dbpedia.org/ontology/country> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . 

}",1,0,0,1,1,1
45,0,┬┐Cu├íl fue la ├║ltima pel├¡cula con Alec Guinness?,,,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Alec_Guinness> . ?uri <http://dbpedia.org/ontology/releaseDate> ?date . } ORDER BY DESC(?date) LIMIT 1,,0,1,1,0,0,0
46,0.8536585366,┬┐Cu├íl es la monta├▒a m├ís alta de Australia?,"""┬┐Cu├íl es monta´┐¢as m´┐¢s alta in Australia?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
 ?uri rdf:type dbo:Mountain .
 ?uri dbo:locatedInArea res:Australia .
 ?uri dbo:elevation ?elevation .
} 
ORDER BY DESC(?elevation) LIMIT 1","SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> . ?subjOfProp <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Australia> . ?subjOfProp <http://dbpedia.org/ontology/elevation> ?num . 

} ORDER BY DESC(?num) LIMIT 1",0,1,1,0,0,0
48,0,┬┐Qui├®n cre├│ Family Guy?,,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Family_Guy> <http://dbpedia.org/ontology/creator> ?uri . },,0,1,1,0,0,0
49,0.9589041096,┬┐Cu├íl es la idioma oficial de Surinam?,"""┬┐Cu├íl es idioma oficial de Surinam?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
 res:Suriname dbo:officialLanguage ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Suriname> <http://dbpedia.org/ontology/officialLanguage> ?o . 

}",1,0,0,1,1,1
50,0.7228915663,┬┐Qui├®n escribi├│ la canci├│n Hotel California?,"""┬┐Qu├® escribir Hotel California canci├│n?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hotel_California> <http://dbpedia.org/ontology/writer> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Hotel_California> <http://dbpedia.org/ontology/writer> ?o . 

}",3,0,0,1,1,1
51,0.8070175439,Dame todos los actores de pel├¡culas dirigidas por William Shatner.,"""Dame todos pel´┐¢cula dirigido por William Shatner""",,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/William_Shatner> . ?x <http://dbpedia.org/ontology/starring> ?uri . },"select ?s 

{

 ?s <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/William_Shatner> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . 

}",0,4,18,0,0,0
52,0.7291666667,┬┐Qu├® contiene una galleta de chocolate?,"""┬┐Qu├® masculine contiene Galleta con pepitas de chocolate?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chocolate_chip_cookie> <http://dbpedia.org/ontology/ingredient> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Chocolate_chip_cookie> <http://dbpedia.org/ontology/ingredient> ?o . 

}",10,0,0,1,1,1
53,0,Dame todos las skateboarders profesionales de Suecia.,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 ?uri dbo:occupation res:Skateboarding . 
 { ?uri dbo:birthPlace res:Sweden . }
 UNION
 { ?uri dbo:birthPlace ?place . 
 ?place dbo:country res:Sweden . }
}",,0,1,2,0,0,0
54,0,┬┐Qu├® ingredientes son necesarios para una tarta de zanahorias?,,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Carrot_cake> <http://dbpedia.org/ontology/ingredient> ?uri . },,0,1,9,0,0,0
56,0,┬┐Qu├® ingeniero inform├ítico gan├│ un Oscar?,,,"SELECT DISTINCT ?uri WHERE { { ?uri <http://dbpedia.org/ontology/field> <http://dbpedia.org/resource/Computer_science> . } UNION { ?uri <http://purl.org/dc/elements/1.1/description> ?s . FILTER regex(?s,'computer scientist','i') } ?uri <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Academy_Awards> . }",,1,0,0,1,1,1
57,0,┬┐Cu├íntas compa├▒├¡as fueron fundadas en el mismo a├▒o que Google?,,,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/foundingYear> ?year . <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/foundingYear> ?year . },,0,1,1,0,0,0
58,0,┬┐En qu├® ciudad del reino unido se encuentra el cuartel genetal del MI6?,,,"PREFIX res: <http://dbpedia.org/resource/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE { 
 res:Secret_Intelligence_Service dbo:headquarter ?uri . 
 ?uri dbo:country res:United_Kingdom . 
}",,0,1,3,0,0,0
60,0.7894736842,┬┐Qu├® abrevia IYCM?,"""┬┐D├│nde abrevia IYCM?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
 ?uri dbo:abbreviation 'IYCM' .
}","select ?s 

{

 ?s <http://dbpedia.org/ontology/abbreviation> 'IYCM' 

}",0,1,1,0,0,0
61,0.8918918919,┬┐Cu├índo se disolvi├│ la dinast├¡a de Ming?,"""┬┐Cu├índo se disolvi´┐¢ Dinast├¡a Ming?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?date
WHERE { 
 res:Ming_dynasty dbo:dissolutionDate ?date .
}","select ?o 

{

 <http://dbpedia.org/resource/Ming_dynasty> <http://dbpedia.org/ontology/dissolutionDate> ?o . 

}",1,0,0,1,1,1
62,0,Dame todos los episodios de la pr├¡mera ├®poca de la serie de HBO Los Sporanos.,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 ?uri dbo:series res:The_Sopranos .
 ?uri dbo:seasonNumber 1 .
}",,0,1,86,0,0,0
63,0.9166666667,"┬┐Cu├íl es la poblaci├│n total de Melbourne, Florida?","""┬┐Cu├íl es poplaci´┐¢n total de Melbourne Florida?""",,"PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT ?uri 
WHERE { 
 <http://dbpedia.org/resource/Melbourne,_Florida> dbo:populationTotal ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Melbourne,_Florida> <http://dbpedia.org/ontology/populationTotal> ?o . 

}",1,0,0,1,1,1
65,0.7532467532,┬┐En que pa├¡s esta el monte Everest?,"""┬┐En qu├® c´┐¢digo de ´┐¢rea esta Monte Everest?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
 res:Mount_Everest dbo:locatedInArea ?uri . 
 ?uri rdf:type dbo:Country .
}","select ?o 

{

 <http://dbpedia.org/resource/Mount_Everest> <http://dbpedia.org/ontology/areaCode> ?o . 

}",0,1,7,0,0,0
66,0.9156626506,┬┐Cu├íl es la cuidad m├ís grande de Australia?,"""┬┐Cu├íl es ciudad m´┐¢s grande de Australia?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:Australia dbo:largestCity ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Australia> <http://dbpedia.org/ontology/largestCity> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . 

}",1,0,0,1,1,1
67,0.8793103448,Dame todas las plataformas de lanzamiento operadas por la NASA.,"""Dame todos plataforma de lanzamiento operado por NASA""",,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri 
WHERE { 
 ?uri rdf:type dbo:LaunchPad . 
 ?uri dbo:operator res:NASA . 
}","select ?s 

{

 ?s <http://dbpedia.org/ontology/operator> <http://dbpedia.org/resource/NASA> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/LaunchPad> . 

}",9,0,0,1,1,1
68,0.7878787879,┬┐Qui├®n es el alcalde de Tel Aviv?,"""┬┐Cu├íles son alcaldes de Tel Aviv?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
 res:Tel_Aviv dbo:leaderName ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Tel_Aviv> <http://dbpedia.org/ontology/leaderName> ?o . 

}",1,0,0,1,1,1
69,0,Dame todos los episodios de la pr├¡mera ├®poca de la serie de HBO Los Sporanos.,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 ?uri dbo:series res:The_Sopranos .
 ?uri dbo:seasonNumber 1 .
}",,0,1,86,0,0,0
70,0.8648648649,┬┐Qui├®n cre├│ Batman?,"""┬┐Qu├® crear Batman?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Batman> <http://dbpedia.org/ontology/creator> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Batman> <http://dbpedia.org/ontology/creator> ?o . 

}",2,0,0,1,1,1
71,0.7567567568,┬┐Qui├®n interpreto a Gus Fring en Breaking Bad?,"""┬┐Qui├®n interpreto Gus Fring?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Gus_Fring> <http://dbpedia.org/ontology/portrayer> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Gus_Fring> <http://dbpedia.org/ontology/portrayer> ?o . 

}",1,0,0,1,1,1
72,0,┬┐En qu├® lenguaje de programaci├│n esta programado GIMP?,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
 res:GIMP dbo:programmingLanguage ?uri .
}",,0,1,2,0,0,0
73,0,En que imperio antiguo pagar├¡a con granos de cacao?,,,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Cocoa_bean> . },,0,1,1,0,0,0
