ID,status,sentence,sparqlQald
52,Not Parsed,What is the most frequent cause of death?,N
53,Not Parsed,Who are the four youngest MVP basketball players?,N
54,Not Parsed,Give me all companies in Munich.,N
55,Parsed,Give me the capitals of all countries that the Himalayas run through.,SELECT ?Answer WHERE { http://dbpedia.org/resource/Voice_of_Music <http://dbpedia.org/ontology/foundationPlace> ?Answer .}
56,Not Parsed,How many movies did Park Chan-wook direct?,N
57,Parsed,Which rivers flow into a German lake?,SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/inflow> http://dbpedia.org/resource/Wilson_Lake_(Maine) .}
58,Not Parsed,How many airlines are there?,N
59,Not Parsed,Give me all islands that belong to Japan.,N
60,Not Parsed,How many inhabitants does Maribor have?,N
61,Not Parsed,Give me all Apollo 14 astronauts.,N
62,Not Parsed,Which companies have more than 1 million employees?,N
63,Parsed,In which films directed by Garry Marshall was Julia Roberts starring?,SELECT ?Answer WHERE { http://dbpedia.org/resource/Marshall_(film) <http://dbpedia.org/ontology/director> ?Answer .}
64,Not Parsed,Give me all soccer clubs in the Premier League.,N
65,Not Parsed,What is the highest place of the Urals?,N
66,Not Parsed,Who is the governor of Wyoming?,N
68,Not Parsed,Give me all world heritage sites designated within the past two years.,N
69,Not Parsed,Give me all actors who were born in Paris after 1950.,N
70,Not Parsed,Which movies star both Liz Taylor and Richard Burton?,N
71,Not Parsed,Give me all Australian nonprofit organizations.,N
73,Not Parsed,Give me all ESA astronauts.,N
74,Not Parsed,Who was president of Pakistan in 1978?,N
75,Not Parsed,Who is the owner of Rolls-Royce?,N
76,Parsed,How many museums does Paris have?,SELECT ?Answer WHERE { http://dbpedia.org/resource/Théâtre_de_Paris <http://dbpedia.org/ontology/seatingCapacity> ?Answer .}
77,Not Parsed,Where was JFK assassinated?,N
78,Not Parsed,Give me all federal chancellors of Germany.,N
79,Not Parsed,Show me everyone who was born on Halloween.,N
80,Parsed,Which beer originated in Ireland?,SELECT ?Answer WHERE { http://dbpedia.org/resource/Ireland_Brook_(New_Jersey) <http://dbpedia.org/ontology/sourceCountry> ?Answer .}
81,Not Parsed,To which countries does the Himalayan mountain system extend?,N
82,Parsed,Which actors were born in Germany?,SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Germany_(European_Parliament_constituency)> .}
83,Not Parsed,How much carbs does peanut butter have?,N
84,Parsed,Who produced the most films?,SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/product> http://dbpedia.org/resource/Films .}
85,Not Parsed,How many employees does Google have?,N
86,Not Parsed,Give me all actors who were born in Berlin.,N
87,Not Parsed,Who created Goofy?,N
88,Not Parsed,Which music albums contain the song Last Christmas?,N
89,Not Parsed,When was Alberta admitted as province?,N
90,Parsed,How many missions does the Soyuz programme have?,SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Whitebrook <http://dbpedia.org/ontology/seatingCapacity> ?Answer .}
91,Parsed,Give me all the TV shows with Neil Patrick Harris.,SELECT ?Answer WHERE { <http://dbpedia.org/resource/The_(206)> <http://dbpedia.org/ontology/starring> ?Answer .}
92,Not Parsed,When were the Hells Angels founded?,N
94,Not Parsed,Give me all Swedish holidays.,N
95,Not Parsed,In which city was the former Dutch queen Juliana buried?,N
96,Not Parsed,List all the musicals with music by Leonard Bernstein.,N
97,Not Parsed,Give me all companies in the advertising industry.,N
98,Not Parsed,What is the largest metropolitan area in Washington state?,N
99,Not Parsed,Who killed John Lennon?,N
100,Not Parsed,Which writers studied in Istanbul?,N
101,Not Parsed,Give me all Australian metalcore bands.,N
