id,question
179,Give me all people that were born in Vienna and died in Berlin.
180,Is Darth Vader Luke’s father?
181,Show me all the breweries in Australia.
182,Give me all films produced by Steven Spielberg with a budget of at least $80 million.
183,Give me all soccer clubs in Spain.
184,Who produced films starring Natalie Portman?
185,Give me all breeds of the German Shepherd dog.
186,Who is the heaviest player of the Chicago Bulls?
187,Which languages are spoken in Estonia?
188,What is the largest country in the world?
189,What is the largest city in america?
190,Who was the pope that founded the Vatican Television?
191,Who discovered Ceres?
192,Who is the king of the Netherlands?
193,Is Cola a beverage?
194,What is the alma mater of the chancellor of Germany Angela Merkel?
195,Who wrote the book Les Piliers de la terre?
196,Which airports does Yeti Airlines serve?
197,Where is the birthplace of Goethe?
198,Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?
199,Which ingredients do I need for carrot cake?
200,Who created Wikipedia?
201,What is the highest mountain in Saxony Germany?
202,Who is the current federal minister of finance in Germany?
203,In which country is Mecca located?
204,Who played Gus Fring in Breaking Bad?
205,In which country does the Nile start?
206,In which state Penn State University is located?
207,What is the biggest stadium in Spain?
208,Who is the coach of Ankara's ice hockey team?
209,How large is the area of UK?
210,Who created Batman?
211,Was Sigmund Freud married?
212,Who are the developers of DBpedia?
213,Give me all movies directed by Francis Ford Coppola.
214,Are tree frogs a type of amphibian?
215,What is the location of the Houses of Parliament?
216,how much is the elevation of Düsseldorf Airport ?
217,How much is the population of mexico city ?
218,when was the founding date of french fifth republic?
219,Who was the first King of England?
220,Who is the editor of Forbes?
221,Which awards did Douglas Hofstadter win?
222,Who is the youngest Darts player?
223,Is horse racing a sport?
224,Which river does the Brooklyn Bridge cross?
225,How many people live in Poland?
226,When was the last episode of the TV series Friends aired?
227,Is the wife of president Obama called Michelle?
229,Who is 8th president of US?
230,how much is the total population of  european union?
231,Give me all launch pads operated by NASA.
232,Who developed the video game World of Warcraft?
233,What is the birth name of Adele?
234,What is the population of Cairo?
235,Is Frank Herbert still alive?
236,What is the last work of Dan Brown?
237,Where is Sungkyunkwan University?
238,Who is the author of the interpretation of dreams?
239,When was the death  of  Shakespeare?
241,Who developed Slack?
242,Where is the origin of Carolina reaper?
243,In which year was Rachel Stevens born?
244,How often did Jane Fonda marry?
245,Was the wife of president Lincoln called Mary?
246,Which cities does the Weser flow through?
247,In which programming language is GIMP written?
248,Which university did Angela Merkel attend?
249,List all the musicals with music by Elton John.
250,How many Aldi stores are there?
251,What is the longest river in the world?
252,When was John Adams born?
253,Which companies produce hovercrafts?
254,Who was the wife of U.S. president Lincoln?
255,Which species does an elephant belong?
256,How many people live in the capital of Australia?
257,In which ancient empire could you pay with cocoa beans?
258,How many theories did Albert Einstein come up with?
259,Who composed the soundtrack for Cameron's Titanic?
260,Give me the runtime of Toy Story.
262,With how many countries Iran has borders?
263,Which electronics companies were founded in Beijing?
264,Who was the successor of John F. Kennedy?
265,Who is the mayor of Paris?
266,Did Arnold Schwarzenegger attend a university?
267,Is James Bond married?
268,Does the Isar flow into a lake?
269,Which Indian company has the most employees?
270,Who was John F. Kennedy's vice president?
271,Which country does the creator of Miffy come from?
273,In what city is the Heineken brewery?
274,Is Barack Obama a democrat?
275,List the children of Margaret Thatcher.
276,From which region is the Melon de Bourgogne?
278,how big is the total area of North Rhine- Westphalia?
279,Which city has the most inhabitants?
280,What is Donald Trump's main business?
281,When will start the final match of the football world cup 2018?
282,Which films did Stanley Kubrick direct?
283,how much is the population  Iraq?
284,How many inhabitants does the largest city in Canada have?
285,Who is the mayor of the capital of French Polynesia?
286,Give me all actors starring in movies directed by William Shatner.
287,How tall is Claudia Schiffer?
288,how much is the population densty rank of germany?
289,What is the highest mountain in Italy?
290,List all games by GMT.
291,What is the official language of Suriname?
292,In which city did Nikos Kazantzakis die?
293,What is in a chocolate chip cookie?
294,In which country is the Limerick Lake?
295,Give me all video games published by Mean Hamster Software.
296,Give me all members of Prodigy.
297,In which time zone is Rome?
298,How high is the lighthouse in Colombo?
299,Who are the writers of the Wall album of Pink Floyd?
300,Who is the mayor of Rotterdam?
301,What is the largest city in Australia?
302,Who was married to president Chirac?
303,What form of government is found in South Africa?
304,How high is the Yokohama Marine Tower?
305,Which holidays are celebrated around the world? 
306,Who is the tallest basketball player?
307,How many languages are spoken in Turkmenistan?
308,Did Che Guevara have children?
309,Did Kaurismäki ever win the Grand Prix at Cannes?
310,To which party does the mayor of Paris belong?
311,Who is the Formula 1 race driver with the most races?
312,What country is Sitecore from?
313,Give me the birth place of Frank Sinatra.
314,Is Christian Bale starring in Velvet Goldmine?
315,Who is the son of Sonny and Cher?
316,How many ethnic groups live in Slovenia?
317,What is the capital of Cameroon?
318,Was Natalie Portman born in the United States?
319,How many pages does War and Peace have?
320,Who is the oldest child of Meryl Streep?
321,Which television shows were created by Walt Disney?
322,What does IYCM stand for?
323,Which types of grapes grow in Oregon?
324,Was U.S. president Jackson involved in a war?
325,When was the Titanic completed?
326,Did Tesla win a nobel prize in physics?
327,How many states are in Mexico?
328,Which scientist is known for the Manhattan Project and the Nobel Peace Prize?
329,How much did the Lego Movie cost?
330,Who composed the music for Harold and Maude?
331,List all episodes of the first season of the HBO television series The Sopranos.
332,Which city has the least inhabitants?
333,Where is Syngman Rhee buried?
334,Does Neymar play for Real Madrid?
335,Who wrote the book The Pillars of the Earth?
336,Do Prince Harry and Prince William have the same parents?
337,Who was the doctoral supervisor of Albert Einstein?
338,Does Breaking Bad have more episodes than Game of Thrones?
339,Who was Vincent van Gogh inspired by?
340,Which building after the Burj Khalifa has the most floors?
341,What was the final result of the War of the Roses?
342,How much did Pulp Fiction cost?
343,Is proinsulin a protein?
344,Do Urdu and Persian have a common root?
345,Who is starring in Spanish movies produced by Benicio del Toro?
346,Is Lake Baikal bigger than the Great Bear Lake?
347,Show me all books in Asimov's Foundation series.
348,Where was Bach born?
349,Which city has the oldest running metro?
350,Who designed the Brooklyn Bridge?
351,How many people live in Eurasia?
352,Who is the host of the BBC Wildlife Specials?
353,"What is the total population of Melbourne, Florida?"
354,What country is Mount Everest in?
355,To which artistic movement did the painter of The Three Dancers belong?
356,When did Operation Overlord commence?
357,What is the bridge with the longest span?
358,Is there a video game called Battle Chess?
359,Who was buried in the Great Pyramid of Giza?
360,Does the Ford Motor Company have a manufacturing plant in Malaysia?
361,Did Socrates influence Aristotle?
362,How many children did Benjamin Franklin have?
363,How tall is Michael Jordan?
364,In which UK city are the headquarters of the MI6?
365,Who created Family Guy?
366,In which city does the Chile Route 68 end?
367,Give me the grandchildren of Elvis Presley.
368,When did the Ming dynasty dissolve?
369,In which military conflicts did Lawrence of Arabia participate?
370,What is the timezone in San Pedro de Atacama?
371,Give me all books by William Goldman with more than 300 pages.
372,What did Bruce Carver die from?
373,Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?
374,Does Abraham Lincoln's death place have a website?
375,Did Elvis Presley have children?
376,Is Michelle Obama the wife of Barack Obama?
377,In which city does Sylvester Stallone live?
378,Which books by Kerouac were published by Viking Press?
379,Who wrote the song Hotel California?
380,What is the capital of Canada?
381,Who is the mayor of Tel Aviv?
382,What form of government does Russia have?
383,Show me the book that Muhammad Ali wrote.
384,Who was the first to climb Mount Everest?
385,How many languages are spoken in Colombia?
386,What is the currency of the Czech Republic?
387,Where in France is sparkling wine produced?
388,When did Boris Becker end his active career?
389,Which movies starring Mickey Rourke were directed by Guy Ritchie?
390,In which films did Julia Roberts as well as Richard Gere play?
391,Show me Hemingway's autobiography.
392,How tall is Amazon Eve?
393,What are the five boroughs of New York?
394,Give me all Canadian Grunge record labels.
395,In which country does the Ganges start?
396,Who is the founder of Penguin Books?
397,Who wrote the Game of Thrones theme?
398,Who is the president of Eritrea?
399,In which city did John F. Kennedy die?
400,What is the highest mountain in Australia?
401,Who writes the Farmers' Almanac?
402,Give me the currency of China.
403,Give me all Swedish oceanographers.
404,In which city are the headquarters of the United Nations?
405,Is Rita Wilson the wife of Tom Hanks?
406,In which countries do people speak Japanese?
407,Which of Tim Burton's films had the highest budget?
408,Which museum in New York has the most visitors?
409,What was the first Queen album?
410,What was the first name of the band Queens of the Stone Age?
411,What was the last movie with Alec Guinness?
412,Give me all actors starring in Last Action Hero.
413,Who discovered Pluto?
