"ID","status","sentence","sparqlQueGG","sparqlQald","TP","FP","FN","Precision","Recall","Fscore","Status"
"15","WORK","Who is the owner of Universal Studios?","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Universal_Studios dbo:owner ?uri }","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Universal_Studios> <http://dbpedia.org/ontology/owner> ?Answer .}","1.0","0.0","0.0","1.0","1.0","1.0","WORK"
"16","N","Which state of the USA has the highest population density?","PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type yago:WikicatStatesOfTheUnitedStates ; dbp:densityrank ?rank } ORDER BY ASC(?rank) LIMIT 1","N","0.0","0.0","0.0","0.0","0.0","0.0","N"
"17","WORK","Which monarchs were married to a German?","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Monarch ; dbo:spouse ?spouse { ?spouse dbo:birthPlace res:Germany } UNION { ?spouse dbo:birthPlace ?p . ?p dbo:country res:Germany } }","SELECT ?Answer WHERE { ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Monarch>. ?Answer <http://dbpedia.org/ontology/spouse> <http://dbpedia.org/resource/Mike_German> .}","0.0","0.0","1.0","0.0","0.0","0.0","WORK"
"18","WORK","Which organizations were founded in 1950?","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Organisation { ?uri dbo:formationYear ?date } UNION { ?uri dbo:foundingYear ?date } UNION { ?uri dbp:foundation ?date } UNION { ?uri dbp:formation ?date } FILTER regex(?date, ""^1950"") }","SELECT ?Answer WHERE { ""1950""^^<http://www.w3.org/2001/XMLSchema#gYear> <http://dbpedia.org/ontology/foundingYear> ?Answer .}","0.0","0.0","0.0","0.0","0.0","0.0","WORK"
"19","WORK","Who created the comic Captain America?","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Captain_America dbo:creator ?uri }","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Captain_America> <http://dbpedia.org/ontology/creator> ?Answer .}","2.0","0.0","0.0","1.0","1.0","1.0","WORK"
"20","N","Give me the Apollo 14 astronauts.","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:mission res:Apollo_14 }","N","0.0","0.0","3.0","0.0","0.0","0.0","N"
"21","WORK","Who wrote the book The pillars of the Earth?","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:The_Pillars_of_the_Earth dbo:author ?uri }","SELECT ?Answer WHERE { <http://dbpedia.org/resource/The_Pillars_of_the_Earth> <http://dbpedia.org/ontology/author> ?Answer .}","1.0","0.0","0.0","1.0","1.0","1.0","WORK"
"22","N","Which state of the United States of America has the highest density?","PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT ?uri WHERE { ?uri dbp:densityrank ?density } ORDER BY ASC(?density) LIMIT 1","N","0.0","0.0","1.0","0.0","0.0","0.0","N"
"23","WORK","Which spaceflights were launched from Baikonur?","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/launchPad> res:Baikonur_Cosmodrome }","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/property/launchPad> <http://dbpedia.org/resource/Baikonur_Cosmodrome> .}","13.0","0.0","0.0","1.0","1.0","1.0","WORK"
"24","N","Give me a list of all trumpet players that were bandleaders.","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:occupation res:Bandleader ; dbo:instrument res:Trumpet }","N","0.0","0.0","46.0","0.0","0.0","0.0","N"
"25","N","Which U.S. states are in the same timezone as Utah?","PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { res:Utah dbp:timezone ?x . ?uri rdf:type yago:WikicatStatesOfTheUnitedStates ; dbp:timezone ?x FILTER ( ?uri != res:Utah ) }","N","0.0","0.0","0.0","0.0","0.0","0.0","N"
"26","N","Which U.S. states possess gold minerals?","PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type yago:WikicatStatesOfTheUnitedStates ; dbp:mineral ?mineral FILTER regex(?mineral, ""gold"", ""i"") }","N","0.0","0.0","0.0","0.0","0.0","0.0","N"
"27","WORK","Who is the daughter of Ingrid Bergman married to?","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Ingrid_Bergman dbo:child ?child . ?child <http://dbpedia.org/property/spouse> ?uri }","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Ingrid_Bergman> <http://dbpedia.org/ontology/child> ?Answer .}","0.0","2.0","0.0","0.0","0.0","0.0","WORK"
"28","WORK","How deep is Lake Placid?","PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Lake_Placid_(Texas)> dbo:maximumDepth ?n }","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Lake_Placid_(Texas)> <http://dbpedia.org/ontology/maximumDepth> ?Answer .}","1.0","0.0","0.0","1.0","1.0","1.0","WORK"
"29","WORK","Show me all museums in London.","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Museum> ; <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/London> }","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Westfield_London> <http://dbpedia.org/ontology/location> ?Answer .}","0.0","1.0","81.0","0.0","0.0","0.0","WORK"
"30","N","Which caves have more than 3 entrances?","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Cave> ; <http://dbpedia.org/property/entranceCount> ?entrance FILTER ( ?entrance > 3 ) }","N","0.0","0.0","34.0","0.0","0.0","0.0","N"
"31","WORK","Who is the tallest player of the Atlanta Falcons?","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Atlanta_Falcons> ; <http://dbpedia.org/ontology/height> ?h } ORDER BY DESC(?h) OFFSET 0 LIMIT 1","SELECT DISTINCT ?subjOfProp WHERE { ?subjOfProp <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Atlanta_Falcons> . ?subjOfProp <http://dbpedia.org/ontology/height> ?num . } ORDER BY DESC(?num) LIMIT 1","1.0","0.0","0.0","1.0","1.0","1.0","WORK"
"32","N","What are the top-10 action role-playing video games according to IGN?","SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Action_role-playing_video_games> ; <http://dbpedia.org/property/ign> ?score } ORDER BY DESC(?score) LIMIT 10","N","0.0","0.0","0.0","0.0","0.0","0.0","N"
"33","WORK","Give me all writers that won the Nobel Prize in literature.","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Writer> ; <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Nobel_Prize_in_Literature> }","SELECT ?Answer WHERE { ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Writer>. <http://dbpedia.org/resource/In_the_Heights> <http://dbpedia.org/ontology/award> ?Answer .}","0.0","0.0","21.0","0.0","0.0","0.0","WORK"
"34","WORK","Show me all basketball players that are higher than 2 meters.","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/BasketballPlayer> ; <http://dbpedia.org/ontology/height> ?n FILTER ( ?n > 2.0 ) }","SELECT DISTINCT ?Answer WHERE { ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/BasketballPlayer>. ?Answer <http://dbpedia.org/ontology/height> ?objOfProp FILTER ( ?objOfProp > 2 ) }","4269.0","0.0","0.0","1.0","1.0","1.0","WORK"
"35","N","When was the Statue of Liberty built?","SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Statue_of_Liberty> <http://dbpedia.org/property/beginningDate> ?date }","N","0.0","0.0","1.0","0.0","0.0","0.0","N"
"36","WORK","Which states border Illinois?","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Illinois> <http://dbpedia.org/property/borderingstates> ?uri }","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Illinois> <http://dbpedia.org/property/borderingstates> ?Answer .}","5.0","0.0","0.0","1.0","1.0","1.0","WORK"
"37","WORK","Who developed Minecraft?","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Minecraft> <http://dbpedia.org/ontology/developer> ?uri }","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Minecraft> <http://dbpedia.org/ontology/developer> ?Answer .}","1.0","0.0","0.0","1.0","1.0","1.0","WORK"
"38","WORK","Where did Hillel Slovak die?","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hillel_Slovak> <http://dbpedia.org/ontology/deathPlace> ?uri }","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Hillel_Slovak> <http://dbpedia.org/ontology/deathPlace> ?Answer .}","2.0","0.0","0.0","1.0","1.0","1.0","WORK"
"39","WORK","What movies does Jesse Eisenberg play in?","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Jesse_Eisenberg> }","SELECT ?Answer WHERE { ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Film>. ?Answer <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Jesse_Eisenberg> .}","25.0","0.0","0.0","1.0","1.0","1.0","WORK"
"40","WORK","Give all swimmers that were born in Moscow.","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Swimmer> ; <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Moscow> }","SELECT ?Answer WHERE { ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Swimmer>. ?Answer <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Moscow> .}","55.0","0.0","0.0","1.0","1.0","1.0","WORK"
"41","N","Give me all cosmonauts.","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Astronaut> { ?uri <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Russia> } UNION { ?uri <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Soviet_Union> } }","N","0.0","0.0","118.0","0.0","0.0","0.0","N"
"42","WORK","Give me all Swiss non-profit organizations.","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/type> <http://dbpedia.org/resource/Nonprofit_organization> { ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Switzerland> } UNION { ?uri <http://dbpedia.org/ontology/location> ?x . ?x <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Switzerland> } }","SELECT DISTINCT ?Answer WHERE { ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/resource/Nonprofit_organization> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Switzerland> }","0.0","0.0","1.0","0.0","0.0","0.0","WORK"
"43","WORK","Which presidents were born in 1945?","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/President> ; <http://dbpedia.org/ontology/birthDate> ?date FILTER regex(?date, ""^1945"") }","SELECT ?Answer WHERE { ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/President>. ""1945""^^<http://www.w3.org/2001/XMLSchema#gYear> <http://dbpedia.org/ontology/birthYear> ?Answer .}","0.0","0.0","0.0","0.0","0.0","0.0","WORK"
"44","WORK","What kind of music did Lou Reed play?","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lou_Reed> <http://dbpedia.org/ontology/genre> ?uri }","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/portrayer> <http://dbpedia.org/resource/Reed_Diamond> .}","0.0","1.0","5.0","0.0","0.0","0.0","WORK"
"45","N","Where do the Red Sox play?","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Boston_Red_Sox> <http://dbpedia.org/property/ballpark> ?uri }","N","0.0","0.0","1.0","0.0","0.0","0.0","N"
"46","N","Show a list of soccer clubs that play in the Bundesliga.","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/SoccerClub> ; <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Bundesliga> }","N","0.0","0.0","52.0","0.0","0.0","0.0","N"
"47","N","Which volcanos in Japan erupted since 2000?","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Volcano> ; <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Japan> ; <http://dbpedia.org/ontology/eruptionYear> ?date FILTER ( year(?date) >= 2000 ) }","N","0.0","0.0","0.0","0.0","0.0","0.0","N"
"48","WORK","Which bridges cross the Seine?","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Bridge> ; <http://dbpedia.org/ontology/crosses> <http://dbpedia.org/resource/Seine> }","SELECT ?Answer WHERE { ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Bridge>. ?Answer <http://dbpedia.org/ontology/crosses> <http://dbpedia.org/resource/Seine> .}","33.0","0.0","0.0","1.0","1.0","1.0","WORK"
"49","WORK","What is the official color of the University of Oxford?","SELECT DISTINCT ?string WHERE { <http://dbpedia.org/resource/University_of_Oxford> <http://dbpedia.org/ontology/officialSchoolColour> ?string }","SELECT ?Answer WHERE { <http://dbpedia.org/resource/University_of_Oxford> <http://dbpedia.org/ontology/officialSchoolColour> ?Answer .}","1.0","0.0","0.0","1.0","1.0","1.0","WORK"
"50","N","How many films did Hal Roach produce?","SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/ontology/producer> <http://dbpedia.org/resource/Hal_Roach> }","N","0.0","0.0","1.0","0.0","0.0","0.0","N"
"51","WORK","Give me all Danish movies.","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Denmark> }","SELECT DISTINCT ?Answer WHERE { ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Denmark> }","122.0","0.0","0.0","1.0","1.0","1.0","WORK"
"52","N","What is the most frequent cause of death?","SELECT DISTINCT ?x WHERE { ?uri <http://dbpedia.org/ontology/deathCause> ?x . } ORDER BY DESC(COUNT(DISTINCT ?uri)) OFFSET 0 LIMIT 1","N","0.0","0.0","0.0","0.0","0.0","0.0","N"
"53","N","Who are the four youngest MVP basketball players?","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/BasketballPlayer> ; <http://dbpedia.org/ontology/birthDate> ?date ; <http://dbpedia.org/property/highlights> ?h FILTER regex(?h, ""MVP"") } ORDER BY DESC(?date) OFFSET 0 LIMIT 4","N","0.0","0.0","0.0","0.0","0.0","0.0","N"
"54","N","Give me all companies in Munich.","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> { ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Munich> } UNION { ?uri <http://dbpedia.org/ontology/headquarter> <http://dbpedia.org/resource/Munich> } UNION { ?uri <http://dbpedia.org/ontology/locationCity> <http://dbpedia.org/resource/Munich> } }","N","0.0","0.0","140.0","0.0","0.0","0.0","N"
"55","WORK","Give me the capitals of all countries that the Himalayas run through.","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Himalayas> <http://dbpedia.org/ontology/country> ?country . ?country <http://dbpedia.org/ontology/capital> ?uri }","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Voice_of_Music> <http://dbpedia.org/ontology/foundationPlace> ?Answer .}","0.0","1.0","1.0","0.0","0.0","0.0","WORK"
"56","N","How many movies did Park Chan-wook direct?","SELECT COUNT(DISTINCT ?uri AS ?uri) WHERE { ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Park_Chan-wook> . }","N","0.0","0.0","0.0","0.0","0.0","0.0","N"
"57","WORK","Which rivers flow into a German lake?","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/River> . ?x <http://dbpedia.org/ontology/inflow> ?uri ; a <http://dbpedia.org/ontology/Lake> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> }","SELECT ?Answer WHERE { ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/River>. <http://dbpedia.org/resource/Łańskie_Lake> <http://dbpedia.org/ontology/inflow> ?Answer .}","0.0","1.0","105.0","0.0","0.0","0.0","WORK"
"58","N","How many airlines are there?","SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> }","N","0.0","0.0","1.0","0.0","0.0","0.0","N"
"59","N","Give me all islands that belong to Japan.","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Island> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Japan> }","N","0.0","0.0","88.0","0.0","0.0","0.0","N"
"60","N","How many inhabitants does Maribor have?","SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/Maribor> <http://dbpedia.org/ontology/populationTotal> ?num }","N","0.0","0.0","1.0","0.0","0.0","0.0","N"
"61","N","Give me all Apollo 14 astronauts.","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/mission> <http://dbpedia.org/resource/Apollo_14> }","N","0.0","0.0","3.0","0.0","0.0","0.0","N"
"62","N","Which companies have more than 1 million employees?","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> { ?uri <http://dbpedia.org/ontology/numberOfEmployees> ?n } UNION { ?uri <http://dbpedia.org/property/numEmployees> ?n } FILTER ( ?n > 1000000 ) }","N","0.0","0.0","16.0","0.0","0.0","0.0","N"
"63","WORK","In which films directed by Garry Marshall was Julia Roberts starring?","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> ; <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Garry_Marshall> }","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Julia_Julia> <http://dbpedia.org/ontology/director> ?Answer .}","0.0","2.0","3.0","0.0","0.0","0.0","WORK"
"64","N","Give me all soccer clubs in the Premier League.","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/SoccerClub> ; <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Premier_League> }","N","0.0","0.0","264.0","0.0","0.0","0.0","N"
"65","N","What is the highest place of the Urals?","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ural_Mountains> <http://dbpedia.org/property/highest> ?uri }","N","0.0","0.0","1.0","0.0","0.0","0.0","N"
