"ID","status","sentence","sparqlQald"
"18","WORK","Which organizations were founded in 1950?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/foundationPlace> ""1950""^^<http://www.w3.org/2001/XMLSchema#gYear> .}"
"19","WORK","Who created the comic Captain America?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/author> ?Answer .}"
"20","N","Give me the Apollo 14 astronauts.","N"
"21","WORK","Who wrote the book The pillars of the Earth?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/author> ?Answer .}"
"22","N","Which state of the United States of America has the highest density?","N"
"23","N","Which spaceflights were launched from Baikonur?","N"
"24","N","Give me a list of all trumpet players that were bandleaders.","N"
"25","N","Which U.S. states are in the same timezone as Utah?","N"
"26","N","Which U.S. states possess gold minerals?","N"
"27","WORK","Who is the daughter of Ingrid Bergman married to?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Ingrid_Bergman <http://dbpedia.org/ontology/child> ?Answer .}"
"28","WORK","How deep is Lake Placid?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Lake_Placid_(Texas) <http://dbpedia.org/ontology/maximumDepth> ?Answer .}"
"29","WORK","Show me all museums in London.","SELECT ?Answer WHERE { http://dbpedia.org/resource/Westfield_London <http://dbpedia.org/ontology/location> ?Answer .}"
"30","N","Which caves have more than 3 entrances?","N"
"31","WORK","Who is the tallest player of the Atlanta Falcons?","SELECT DISTINCT ?subjOfProp WHERE { ?subjOfProp <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Atlanta_Falcons> . ?subjOfProp <http://dbpedia.org/ontology/height> ?num . } ORDER BY DESC(?num) LIMIT 1"
"32","N","What are the top-10 action role-playing video games according to IGN?","N"
"33","WORK","Give me all writers that won the Nobel Prize in literature.","SELECT ?Answer WHERE { http://dbpedia.org/resource/In_the_Heights <http://dbpedia.org/ontology/award> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Writer>.}"
"34","N","Show me all basketball players that are higher than 2 meters.","N"
"35","N","When was the Statue of Liberty built?","N"
"36","WORK","Which states border Illinois?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Illinois> <http://dbpedia.org/property/borderingstates> ?Answer .}"
"37","WORK","Who developed Minecraft?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Minecraft> .}"
"38","WORK","Where did Hillel Slovak die?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Hillel_Slovak> <http://dbpedia.org/ontology/deathPlace> ?Answer .}"
"39","WORK","What movies does Jesse Eisenberg play in?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Jesse_Eisenberg> . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Film>.}"
"40","WORK","Give all swimmers that were born in Moscow.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Moscow> . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Swimmer>.}"
"41","N","Give me all cosmonauts.","N"
"42","N","Give me all Swiss non-profit organizations.","N"
"43","WORK","Which presidents were born in 1945?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> ""1945""^^<http://www.w3.org/2001/XMLSchema#gYear> . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/President>.}"
"44","WORK","What kind of music did Lou Reed play?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Music> .}"
"45","N","Where do the Red Sox play?","N"
"46","N","Show a list of soccer clubs that play in the Bundesliga.","N"
"47","N","Which volcanos in Japan erupted since 2000?","N"
"48","WORK","Which bridges cross the Seine?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/crosses> <http://dbpedia.org/resource/Seine> . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Bridge>.}"
"49","WORK","What is the official color of the University of Oxford?","SELECT ?Answer WHERE { http://dbpedia.org/resource/University_of_Oxford <http://dbpedia.org/ontology/officialSchoolColour> ?Answer .}"
"50","N","How many films did Hal Roach produce?","N"
"51","WORK","Give me all Danish movies.","SELECT ?Answer WHERE { http://dbpedia.org/resource/Nora_Danish <http://dbpedia.org/ontology/alias> ?Answer .}"
"52","N","What is the most frequent cause of death?","N"
"53","N","Who are the four youngest MVP basketball players?","N"
"54","N","Give me all companies in Munich.","N"
"55","WORK","Give me the capitals of all countries that the Himalayas run through.","SELECT ?Answer WHERE { http://dbpedia.org/resource/Voice_of_Music <http://dbpedia.org/ontology/foundationPlace> ?Answer .}"
"56","N","How many movies did Park Chan-wook direct?","N"
"57","WORK","Which rivers flow into a German lake?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/inflow> ?Arg . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/River>.}"
"58","N","How many airlines are there?","N"
"59","N","Give me all islands that belong to Japan.","N"
"60","N","How many inhabitants does Maribor have?","N"
"61","N","Give me all Apollo 14 astronauts.","N"
"62","N","Which companies have more than 1 million employees?","N"
"63","WORK","In which films directed by Garry Marshall was Julia Roberts starring?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/director> ?Answer .}"
"64","N","Give me all soccer clubs in the Premier League.","N"
"65","N","What is the highest place of the Urals?","N"
"66","N","Who is the governor of Wyoming?","N"
"67","WORK","Where did the architect of the Eiffel Tower study?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Eiffel_Tower <http://dbpedia.org/ontology/architect> ?Answer .}"
"68","N","Give me all world heritage sites designated within the past two years.","N"
"69","WORK","Give me all actors who were born in Paris after 1950.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> http://dbpedia.org/resource/Paris . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Actor>.}"
"70","WORK","Which movies star both Liz Taylor and Richard Burton?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/starring> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Film>.}"
"71","N","Give me all Australian nonprofit organizations.","N"
"72","WORK","Which pope succeeded John Paul II?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/successor> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Pope>.}"
"73","N","Give me all ESA astronauts.","N"
"74","N","Who was president of Pakistan in 1978?","N"
"75","N","Who is the owner of Rolls-Royce?","N"
"76","WORK","How many museums does Paris have?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Théâtre_de_Paris <http://dbpedia.org/ontology/seatingCapacity> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Museum>.}"
"77","N","Where was JFK assassinated?","N"
"78","N","Give me all federal chancellors of Germany.","N"
"79","N","Show me everyone who was born on Halloween.","N"
"80","WORK","Which beer originated in Ireland?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Ireland_Brook_(New_Jersey) <http://dbpedia.org/ontology/sourceCountry> ?Answer .}"
"81","N","To which countries does the Himalayan mountain system extend?","N"
"82","WORK","Which actors were born in Germany?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Germany> . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Actor>.}"
"83","N","How much carbs does peanut butter have?","N"
"84","WORK","Who produced the most films?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Most_Shocking <http://dbpedia.org/ontology/executiveProducer> ?Answer .}"
"85","N","How many employees does Google have?","N"
"86","WORK","Give me all actors who were born in Berlin.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Berlin> . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Actor>.}"
"87","N","Who created Goofy?","N"
"88","N","Which music albums contain the song Last Christmas?","N"
"89","N","When was Alberta admitted as province?","N"
"90","WORK","How many missions does the Soyuz programme have?","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Whitebrook <http://dbpedia.org/ontology/seatingCapacity> ?Answer .}"
"91","WORK","Give me all the TV shows with Neil Patrick Harris.","SELECT ?Answer WHERE { http://dbpedia.org/resource/Walk_the_Walk <http://dbpedia.org/ontology/starring> ?Answer .}"
"92","N","When were the Hells Angels founded?","N"
"93","WORK","What is the net income of Apple?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Apple_Inc. <http://dbpedia.org/ontology/netIncome> ?Answer .}"
"94","N","Give me all Swedish holidays.","N"
"95","N","In which city was the former Dutch queen Juliana buried?","N"
"96","N","List all the musicals with music by Leonard Bernstein.","N"
"97","N","Give me all companies in the advertising industry.","N"
"98","N","What is the largest metropolitan area in Washington state?","N"
"99","N","Who killed John Lennon?","N"
"100","N","Which writers studied in Istanbul?","N"
"101","N","Give me all Australian metalcore bands.","N"
"102","WORK","Which countries adopted the Euro?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/currency> http://dbpedia.org/resource/Euro .}"
"103","N","Give me all types of eating disorders.","N"
"104","N","Was Marc Chagall a jew?","N"
"105","N","What was Brazil's lowest rank in the FIFA World Ranking?","N"
"106","N","How many films did Leonardo DiCaprio star in?","N"
"107","N","Was Margaret Thatcher a chemist?","N"
"108","N","Which U.S. states are in the same time zone as Utah?","N"
"109","N","Give me all books written by Danielle Steel.","N"
"110","N","Which country has the most official languages?","N"
"111","N","What is the total amount of men and women serving in the FDNY?","N"
"112","WORK","Which actor played Chewbacca?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Time_Actor <http://dbpedia.org/ontology/genre> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Actor>.}"
"113","N","Give me all libraries established earlier than 1400.","N"
"114","N","Which programming languages were influenced by Perl?","N"
"115","N","In which U.S. state is Mount McKinley located?","N"
"116","N","What airlines are part of the SkyTeam alliance?","N"
"117","N","Which ships were called after Benjamin Franklin?","N"
"118","N","Give me all Methodist politicians.","N"
"119","WORK","What other books have been written by the author of The Fault in Our Stars?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/The_Fault_in_Our_Stars> <http://dbpedia.org/ontology/author> ?Answer .}"
"120","N","What is the highest mountain?","N"
"121","WORK","Which poet wrote the most books?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/author> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Poet>.}"
"122","N","Which programming languages influenced Javascript?","N"
"123","WORK","Which musician wrote the most books?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/author> ?Answer .}"
"124","WORK","Which films starring Clint Eastwood did he direct himself?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/director> ?Answer .}"
"125","N","Which software has been developed by organizations founded in California?","N"
"126","WORK","Which instruments does Cat Stevens play?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/genre> ?Answer .}"
"127","N","How many airlines are members of the Star Alliance?","N"
"128","N","Give me all actors called Baldwin.","N"
"129","WORK","Who wrote The Hunger Games?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/author> ?Answer .}"
"130","N","For which label did Elvis record his first album?","N"
"131","N","Is Christian Bale starring in Batman Begins?","N"
"132","WORK","Where is the residence of the prime minister of Spain?","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Duke_of_Dorchester <http://dbpedia.org/ontology/residence> ?Answer .}"
"133","N","Which actor was casted in the most movies?","N"
"134","N","Which countries have more than two official languages?","N"
"135","N","Which countries have more than ten caves?","N"
"136","N","Show me all songs from Bruce Springsteen released between 1980 and 1990.","N"
"137","WORK","Which television shows were created by John Cleese?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/author> ?Arg . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/TelevisionShow>.}"
"138","N","When did Latvia join the EU?","N"
"139","WORK","Which soccer players were born on Malta?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/birthDate> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/SoccerPlayer>.}"
"140","N","How many politicians graduated from Columbia University?","N"
"141","WORK","Give me the birthdays of all actors of the television show Charmed.","SELECT ?Answer WHERE { http://dbpedia.org/resource/Wolfgang_of_the_Palatinate <http://dbpedia.org/ontology/birthDate> ?Answer .}"
"142","WORK","Which telecommunications organizations are located in Belgium?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Huichon_University_of_Telecommunications <http://dbpedia.org/ontology/city> ?Answer .}"
"143","N","Give me a list of all lakes in Denmark.","N"
"144","WORK","How many children does Eddie Murphy have?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Murphy_Theatre <http://dbpedia.org/ontology/seatingCapacity> ?Answer .}"
"145","N","Show me all English Gothic buildings in Kent.","N"
"146","WORK","Who is the manager of Real Madrid?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Real_Madrid_Castilla <http://dbpedia.org/ontology/manager> ?Answer .}"
"147","N","In which countries can you pay using the West African CFA franc?","N"
"148","N","Which holidays are celebrated around the world?","N"
"149","N","What is the longest river?","N"
"150","WORK","Which organizations were founded in 1930?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/foundationPlace> ""1930""^^<http://www.w3.org/2001/XMLSchema#gYear> .}"
"151","N","What is the birth name of Angela Merkel?","N"
"152","N","Who has Tom Cruise been married to?","N"
"153","N","Which weapons did Heckler & Koch develop?","N"
"154","N","What is the smallest city by area in Germany?","N"
"155","N","What is the ruling party in Lisbon?","N"
"156","N","How heavy is Jupiter's lightest moon?","N"
"157","N","How many employees does IBM have?","N"
"158","WORK","List all episodes of the first season of the HBO television series The Sopranos!","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Sopranos_(episode) <http://dbpedia.org/ontology/seasonNumber> ?Answer .}"
"159","N","What does ICRO stand for?","N"
"160","N","Does the new Battlestar Galactica series have more episodes than the old one?","N"
"161","WORK","Give me all films produced by Hal Roach.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/executiveProducer> ?Arg .}"
"162","WORK","Who played Agent Smith in Matrix?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Wilbur_Smith <http://dbpedia.org/ontology/genre> ?Answer .}"
"163","N","Which Greek parties are pro-European?","N"
"164","N","Give me a list of all bandleaders that play trumpet.","N"
"165","N","What is the second highest mountain on Earth?","N"
"166","N","Is Egypts largest city also its capital?","N"
"167","N","Which rockets were launched from Baikonur?","N"
"168","N","How many programming languages are there?","N"
"169","N","Which Chess players died in the same place they were born in?","N"
"170","WORK","Who is the owner of Facebook?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Facebook_Zero <http://dbpedia.org/ontology/owner> ?Answer .}"
"171","WORK","Give me all movies with Tom Cruise.","SELECT ?Answer WHERE { http://dbpedia.org/resource/Tom_Terrific <http://dbpedia.org/ontology/starring> ?Answer .}"
"172","N","In which U.S. state is Fort Knox located?","N"
"173","WORK","Give me all cities in New Jersey with more than 100000 inhabitants.","SELECT ?Answer WHERE { http://dbpedia.org/resource/Zion,_New_Jersey <http://dbpedia.org/ontology/isPartOf> ?Answer .}"
"174","N","Which mountains are higher than the Nanga Parbat?","N"
"175","N","Give me all B-sides of the Ramones.","N"
"176","WORK","What are the specialities of the UNC Health Care?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Providence_Health_Care_(Vancouver)__2 <http://dbpedia.org/ontology/title> ?Answer .}"
"177","N","When was Olof Palme shot?","N"
"178","N","List the seven kings of Rome.","N"
"179","N","Give me all people that were born in Vienna and died in Berlin.","N"
"180","N","Is Darth Vader Luke’s father?","N"
"181","N","Show me all the breweries in Australia.","N"
"182","WORK","Give me all films produced by Steven Spielberg with a budget of at least $80 million.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/executiveProducer> ?Arg .}"
"183","N","Give me all soccer clubs in Spain.","N"
"184","WORK","Who produced films starring Natalie Portman?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/product> http://dbpedia.org/resource/Films .}"
"185","N","Give me all breeds of the German Shepherd dog.","N"
"186","N","Who is the heaviest player of the Chicago Bulls?","N"
"187","N","Which languages are spoken in Estonia?","N"
"188","N","What is the largest country in the world?","N"
"189","N","What is the largest city in america?","N"
"190","WORK","Who was the pope that founded the Vatican Television?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/foundedBy> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Pope>.}"
"191","WORK","Who discovered Ceres?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Ceres_(dwarf_planet) <http://dbpedia.org/ontology/discoverer> ?Answer .}"
"192","WORK","Who is the king of the Netherlands?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Netherlands> <http://dbpedia.org/ontology/leader> ?Answer .}"
"193","N","Is Cola a beverage?","N"
"194","WORK","What is the alma mater of the chancellor of Germany Angela Merkel?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Germany <http://dbpedia.org/ontology/areaTotal> ?Answer .}"
"195","WORK","Who wrote the book Les Piliers de la terre?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/author> ?Answer .}"
"196","WORK","Which airports does Yeti Airlines serve?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/targetAirport> http://dbpedia.org/resource/Scandinavian_Airlines . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Airport>.}"
"197","N","Where is the birthplace of Goethe?","N"
"198","N","Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?","N"
"199","N","Which ingredients do I need for carrot cake?","N"
"200","WORK","Who created Wikipedia?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Wikipedia> <http://dbpedia.org/ontology/author> ?Answer .}"
"201","N","What is the highest mountain in Saxony Germany?","N"
"202","N","Who is the current federal minister of finance in Germany?","N"
"203","WORK","In which country is Mecca located?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/city> ?Arg . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Country>.}"
"204","WORK","Who played Gus Fring in Breaking Bad?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Breaking_Bad <http://dbpedia.org/ontology/genre> ?Answer .}"
"205","WORK","In which country does the Nile start?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/starring> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Country>.}"
"206","N","In which state Penn State University is located?","N"
"207","N","What is the biggest stadium in Spain?","N"
"208","N","Who is the coach of Ankara's ice hockey team?","N"
"209","WORK","How large is the area of UK?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Metropolitan_Area_of_Porto <http://dbpedia.org/ontology/areaTotal> ?Answer .}"
"210","WORK","Who created Batman?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Batman_Animated <http://dbpedia.org/ontology/author> ?Answer .}"
"211","N","Was Sigmund Freud married?","N"
"212","WORK","Who are the developers of DBpedia?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/DBpedia> <http://dbpedia.org/ontology/developer> ?Answer .}"
"213","WORK","Give me all movies directed by Francis Ford Coppola.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Francis_Ford_Coppola> . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Film>.}"
"214","N","Are tree frogs a type of amphibian?","N"
"215","WORK","What is the location of the Houses of Parliament?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Vale_of_Avoca <http://dbpedia.org/ontology/locatedInArea> ?Answer .}"
"216","WORK","how much is the elevation of Düsseldorf Airport ?","SELECT ?Answer WHERE { http://dbpedia.org/resource/H_D_Range <http://dbpedia.org/ontology/elevation> ?Answer .}"
"217","WORK","How much is the population of mexico city ?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Mexico_City <http://dbpedia.org/ontology/populationTotal> ?Answer .}"
"218","N","when was the founding date of french fifth republic?","N"
"219","N","Who was the first King of England?","N"
"220","WORK","Who is the editor of Forbes?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Forbes> <http://dbpedia.org/ontology/editor> ?Answer .}"
"221","WORK","Which awards did Douglas Hofstadter win?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/award> ?Arg . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Award>.}"
"222","WORK","Who is the youngest Darts player?","SELECT DISTINCT ?subjOfProp WHERE { ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/DartsPlayer> . ?subjOfProp <http://dbpedia.org/ontology/birthDate> ?num . } ORDER BY DESC(?num) LIMIT 1"
"223","N","Is horse racing a sport?","N"
"224","WORK","Which river does the Brooklyn Bridge cross?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/crosses> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/River>.}"
"225","WORK","How many people live in Poland?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?Answer .}"
"226","N","When was the last episode of the TV series Friends aired?","N"
"227","WORK","Is the wife of president Obama called Michelle?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Michelle_Obama <http://dbpedia.org/ontology/spouse> ?Answer .}"
"229","N","Who is 8th president of US?","N"
"230","N","how much is the total population of  european union?","N"
"231","WORK","Give me all launch pads operated by NASA.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/operator> ?Arg . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/LaunchPad>.}"
"232","WORK","Who developed the video game World of Warcraft?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/developer> ?Answer .}"
"233","N","What is the birth name of Adele?","N"
"234","WORK","What is the population of Cairo?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Cairo> <http://dbpedia.org/ontology/populationTotal> ?Answer .}"
"235","N","Is Frank Herbert still alive?","N"
"236","N","What is the last work of Dan Brown?","N"
"237","N","Where is Sungkyunkwan University?","N"
"238","WORK","Who is the author of the interpretation of dreams?","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Interpretation_of_Dreams <http://dbpedia.org/ontology/author> ?Answer .}"
"239","N","When was the death  of  Shakespeare?","N"
"241","WORK","Who developed Slack?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/product> http://dbpedia.org/resource/Slack_(software) .}"
"242","WORK","Where is the origin of Carolina reaper?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Carolina_Reaper> <http://dbpedia.org/ontology/origin> ?Answer .}"
"243","N","In which year was Rachel Stevens born?","N"
"244","N","How often did Jane Fonda marry?","N"
"245","WORK","Was the wife of president Lincoln called Mary?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Mary_Todd_Lincoln <http://dbpedia.org/ontology/spouse> ?Answer .}"
"246","WORK","Which cities does the Weser flow through?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/city> http://dbpedia.org/resource/Three_Cities .}"
"247","N","In which programming language is GIMP written?","N"
"248","N","Which university did Angela Merkel attend?","N"
"249","WORK","List all the musicals with music by Elton John.","SELECT ?Answer WHERE { http://dbpedia.org/resource/John_Henry_(musical) <http://dbpedia.org/ontology/musicBy> ?Answer .}"
"250","N","How many Aldi stores are there?","N"
"251","N","What is the longest river in the world?","N"
"252","N","When was John Adams born?","N"
"253","N","Which companies produce hovercrafts?","N"
"254","WORK","Who was the wife of U.S. president Lincoln?","SELECT ?Answer WHERE { http://dbpedia.org/resource/U_Thant <http://dbpedia.org/ontology/spouse> ?Answer .}"
"255","N","Which species does an elephant belong?","N"
"256","WORK","How many people live in the capital of Australia?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Australia> <http://dbpedia.org/ontology/capital> ?Answer .}"
"257","N","In which ancient empire could you pay with cocoa beans?","N"
"258","N","How many theories did Albert Einstein come up with?","N"
"259","WORK","Who composed the soundtrack for Cameron's Titanic?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Soundtrack_for_a_Revolution <http://dbpedia.org/ontology/musicComposer> ?Answer .}"
"260","N","Give me the runtime of Toy Story.","N"
"262","N","With how many countries Iran has borders?","N"
