QALD id,QALD question
133,Wieviele Einwohner hat die gr├Â├ƒte Stadt in Kanada?
134,An welchen milit├ñrischen Auseinandersetzungen war Lawrence von Arabien beteiligt?
135,Welches Buch hat die meisten Seiten?
136,In welchem Land entspringt der Nil?
137,Wer ist der Formel-1-Fahrer mit den meisten Rennen?
138,Welche Firmen stellen Hovercrafts her?
139,Hatte Elvis Presley Kinder?
140,In welcher Stadt ist der Pr├ñsident von Montenegro geboren?
141,In welcher Stadt ist Bill Gates geboren?
142,In welcher L├ñndern wird Japanisch gesprochen?
143,"Zeig mir das Buch, das Muhammad Ali geschrieben hat."
144,Ist Michelle Obama die Frau von Barack Obama?
145,Was ist die Vorwahl von Berlin?
146,"Gib mir alle Schauspieler, die in Last Action Hero mitgespielt haben."
147,Was sind die Spitznamen von San Francisco?
148,Was war das erste Queen-Album?
149,Durch welche L├ñnder flie├ƒt der Talsperre El Burguillo?
150,Welche Fernsehserien hat Walt Disney entworfen?
151,Welche Br├╝cke hat die l├ñngste Spannweite?
152,Aus welchem Land kommt Sitecore?
153,Wen hat Donald Trump geheiratet?
154,Was ist die Hauptstadt von Kanada?
155,Wer hat Friedrich Wilhelm Joseph Schelling inspiriert?
156,In welcher Stadt ist John F. Kennedy gestorben?
157,War US-Pr├ñsident Jackson in einen Krieg verwickelt?
158,Wer hat das Titellied f├╝r Games of Thrones geschrieben?
159,Wer hat die Brooklyn Bridge entworfen?
160,Wann hat Boris Becker seine aktive Karriere beendet?
161,Welche Traubenarten wachsen in Oregon?
162,Wie gro├ƒ ist Michael Jordan?
163,Welcher Partei geh├Ârt die B├╝rgermeisterin von Paris an?
164,Wer schrieb das Buch Die S├ñulen der Erde?
165,Wer war der 16. Pr├ñsident der Vereinigten Staaten?
166,Wie hoch ist der Mount Everest?
167,Wer war der Doktorvater von Albert Einstein?
168,In welcher Stadt wohnt Sylvester Stallone?
169,Was ist die W├ñhrung der Tschechischen Republik?
170,Hat Sokrates Aristoteles beeinflusst?
171,In welcher Zeitzone liegt Salt Lake City?
172,Wer ist der Sohn von Sonny und Cher?
173,In welcher Stadt ist das Hauptquartier der Vereinten Nationen?
174,Wer hat Penguin Books gegr├╝ndet?
175,Wann wurde Jack Wolfskin gegr├╝ndet?
176,Wer ist der B├╝rgermeister von Moskau?
177,Gib mir alle Schwedischen Ozeanographen.
178,Zeig mir Hemmingways Autobiographie.
179,Wer sind die Eltern der Frau von Juan Carlos I?
180,Hat Tesla den Nobelpreis f├╝r Physik gewonnen?
181,Wer ist der h├Âchste Basketballspieler?
182,Welche Stadt hat die wenigsten Einwohner?
183,Ist Proinsulin ein Protein?
184,Wer waren die Eltern von K├Ânigin Viktoria?
185,Hatte Che Guevara Kinder?
186,Ist der Baikalsee gr├Â├ƒer als der Gro├ƒe B├ñrensee?
187,Hat Kaurism├ñki jemals den Gro├ƒen Preis der Jury in Cannes gewonnen?
188,Gib mir alle B├╝cher von William Goldman mit mehr als 300 Seiten.
189,Wo liegt Fort Knox?
190,In welchem US-Bundesstaat liegt Fort Knox?
191,Wo liegt Syngman Rhee begraben?
192,In welcher Zeitzone liegt San Pedro de Atacama?
193,Welcher Stilrichtung geh├Ârte der Maler der Drei T├ñnzer an?
194,Welcher Wissenschaftler ist bekannt f├╝r das Manhattan-Projekt und den Friedensnobelpreis?
195,Zeig mir alle B├╝cher in Asimovs Foundation-Serie.
196,"Gib mir alle St├ñdte in New Jersey, die mehr als 100000 Einwohner haben."
197,Welches Museum in New York hat die meisten Besucher?
198,Wie hoch ist der Yokohama Marine Tower?
199,Hat die neue Battlestar-Galactica-Serie mehr Episoden als die alte?
200,Wer ist der j├╝ngste Dartspieler?
201,Wer hat das Videospiel World of Warcraft entwickelt?
202,Welcher Papst hat das Vatikanische Fernsehen gegr├╝ndet?
203,Wer hat die Musik f├╝r Harold und Maude komponiert?
204,Gib mir alle Bandmitglieder von Prodigy.
205,Wer spielt alles in spanischen Filmen produziert von Benicio del Toro mit?
206,Welche Tochtergesellschaft von TUI Travel fliegt sowohl Glasgow als auch Dublin an?
207,In welchem Land liegt Mekka?
208,Wieviele Sprachen werden in Kolumbien gesprochen?
209,Was ist das gr├Â├ƒte Stadion in Spanien?
210,Welche Schauspieler wurden auf den Philippinen geboren?
211,Was sind die Stadtteile von Konstitutionelle Monarchie?
212,Ist Cola ein Getr├ñnk?
213,Wann ist Elisabeth von Sachsen gestorben?
214,Wo in Frankreich wird Schaumwein hergestellt?
