ID,status,sentence,TP,FP,FN,sparqlQueGG,sparqlQald,TP,FP,FN,Precision,Recall,Fscore,Status
93,N,Was ist der Nettogewinn von Apple?,0,0,1,SELECT DISTINCT ?ni WHERE { <http://dbpedia.org/resource/Apple_Inc.> <http://dbpedia.org/ontology/netIncome> ?ni },N,0,0,1,0,0,0,N
96,N,Liste alle Musicals mit Musik von Leonard Bernstein auf,0,0,8,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Musical> ; <http://dbpedia.org/ontology/musicBy> <http://dbpedia.org/resource/Leonard_Bernstein> },N,0,0,8,0,0,0,N
103,N,Zeig mir alle Arten von Essstoerungen,0,0,0,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/class/yago/WikicatEatingDisorders> },N,0,0,0,0,0,0,N
119,N,Welche anderen Buecher wurden vom Autor von Der Fehler unserer Sterne geschrieben? ,0,0,6,PREFIX dbo: <http://dbpedia.org/ontology/> SELECT ?books WHERE { ?books dbo:author <http://dbpedia.org/resource/John_Green_(author)> },N,0,0,6,0,0,0,N
125,N,"Welche Softwareprodukte wurden von Unternehmen entwickelt, die in Kalifornien gegruendet wurden?",0,0,216,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Software> . ?company a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/developer> ?company . ?company <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/California> },N,0,0,216,0,0,0,N
129,N,Wer hat Die Tribute von Panem geschrieben?,0,0,1,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Hunger_Games> <http://dbpedia.org/property/author> ?uri },N,0,0,1,0,0,0,N
132,N,Wo wohnt der Premierminister von Spanien?,0,0,1,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Prime_Minister_of_Spain> <http://dbpedia.org/property/residence> ?uri },N,0,0,1,0,0,0,N
136,N,"Zeige mir alle Lieder von Bruce Springsteen, die zwischen 1980 und 1990 herausgebracht wurden",0,0,7,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Song> . ?uri <http://dbpedia.org/ontology/artist> <http://dbpedia.org/resource/Bruce_Springsteen> . ?uri <http://dbpedia.org/ontology/releaseDate> ?date . FILTER (?date >= '1980-01-01'^^xsd:date && ?date <= '1990-12-31'^^xsd:date) },N,0,0,7,0,0,0,N
140,N,Wieviele Politiker haben einen Abschluss von der Columbia University?,0,0,1,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/ontology/profession> <http://dbpedia.org/resource/Politician> ; <http://dbpedia.org/ontology/almaMater> <http://dbpedia.org/resource/Columbia_University> },N,0,0,1,0,0,0,N
141,N,Gib mir die Geburtstage von allen Darstellern der Fernsehserie Charmed,0,0,10,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Charmed> <http://dbpedia.org/ontology/starring> ?actor . ?actor <http://dbpedia.org/ontology/birthDate> ?date },N,0,0,10,0,0,0,N
146,N,Wer ist der Manager von Real Madrid?,0,0,1,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Real_Madrid_C.F.> <http://dbpedia.org/ontology/manager> ?uri },N,0,0,1,0,0,0,N
151,N,Was ist der Geburtsname von Angela Merkel?,0,0,0,SELECT DISTINCT ?string WHERE { <http://dbpedia.org/resource/Angela_Merkel> <http://dbpedia.org/property/birthName> ?string },N,0,0,0,0,0,0,N
167,N,Welche Raketen sind von Baikonur gestartet?,0,0,38,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Rocket> ; <http://dbpedia.org/ontology/launchSite> <http://dbpedia.org/resource/Baikonur_Cosmodrome> },N,0,0,38,0,0,0,N
178,N,Gib mir eine Liste aller Koenige von Rom,0,0,7,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/title> <http://dbpedia.org/resource/King_of_Rome> },N,0,0,7,0,0,0,N
182,N,"Gib mir alle Filme, die von Steven Spielberg produziert wurden und ein Budget von mindestens 80 Millionen Dollar hatten",0,0,0,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Steven_Spielberg> . ?uri <http://dbpedia.org/ontology/budget> ?b . FILTER( xsd:double(?b) >= 8.0E7 ) },N,0,0,0,0,0,0,N
194,N,Was ist das Alma mater von das Kanzler von Deutschland Angela Merkel? ,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?Almamater WHERE { dbr:Angela_Merkel dbo:almaMater ?Almamater },N,0,0,1,0,0,0,N
197,N,Woher ist das Geburtsort von Goethe? ,0,0,2,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?Goethe WHERE { dbr:Johann_Wolfgang_von_Goethe dbo:birthPlace ?Goethe },N,0,0,2,0,0,0,N
202,N,Wer ist das Strom Bundes Minister von Finanzen im Deutschland? ,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> SELECT ?leader WHERE { <http://dbpedia.org/resource/Federal_Ministry_of_Finance_(Germany)> dbo:leader ?leader },N,0,0,1,0,0,0,N
208,N,Wer ist der Trainer von Ankaras Eishockeymannschaft?,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?x dbo:city res:Ankara ; dbo:league res:Turkish_Ice_Hockey_First_League ; dbo:coach ?uri },N,0,0,1,0,0,0,N
209,N,Wie groß ist das Bereich von VEREINIGTES KÖNIGREICH? ,0,0,2,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?area WHERE { dbr:United_Kingdom dbo:areaTotal ?area },N,0,0,2,0,0,0,N
216,N,Wie viel ist das Elevation von Duesseldorf Flughafen ? ,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?ele WHERE { dbr:Düsseldorf_Airport dbo:elevation ?ele } LIMIT 1,N,0,0,1,0,0,0,N
217,N,Wie viel ist das Population von Mexiko Stadt ? ,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?Mexico_City WHERE { dbr:Mexico_City dbo:populationTotal ?Mexico_City },N,0,0,1,0,0,0,N
218,N,wann war das Gruendung Datum von Franzoesisch fuenfte Republik? ,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?ff WHERE { dbr:French_Fifth_Republic dbo:foundingDate ?ff },N,0,0,1,0,0,0,N
219,N,Wer war der erste Koenig von England?,0,0,0,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Royalty ; rdf:type yago:WikicatEnglishMonarchs ; dbo:activeYearsStartYear ?date } ORDER BY ASC(?date) OFFSET 0 LIMIT 1,N,0,0,0,0,0,0,N
220,N,Wer ist der Herausgeber von Forbes?,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Forbes dbo:editor ?uri },N,0,0,1,0,0,0,N
226,N,Wann war das letzte Folge von das Fernseher Serie Freunde ausgestrahlt? ,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?date WHERE { dbr:Friends dbo:completionDate ?date },N,0,0,1,0,0,0,N
227,WORK,Heißt die Frau von Praesident Obama Michelle?,0,1,0,"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> ASK WHERE { res:Barack_Obama dbo:spouse ?spouse . ?spouse rdfs:label ?name FILTER regex(?name, ""Michelle"") }",SELECT ?Answer WHERE { <http://dbpedia.org/resource/Michelle_Obama> <http://dbpedia.org/ontology/spouse> ?Answer .},0,1,0,0,0,0,WORK
229,N,Wer ist 8 Praesident von UNS? ,0,0,0,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?name WHERE { dbr:8th_President_of_the_United_States dbo:wikiPageRedirects ?link . ?link dbp:name ?name },N,0,0,0,0,0,0,N
230,N,Wie viel ist das gesamt Population von europaeisch Union? ,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?europop WHERE { dbr:European_Union dbo:populationTotal ?europop },N,0,0,1,0,0,0,N
231,N,Gib mir alle von der NASA betriebenen Startrampen,0,0,7,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:LaunchPad ; dbo:operator res:NASA },N,0,0,7,0,0,0,N
233,N,Was ist das Geburt Name von Adele? ,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?bn WHERE { dbr:Adele dbo:birthName ?bn },N,0,0,1,0,0,0,N
234,N,Was ist das Population von Kairo? ,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?pop WHERE { dbr:Cairo dbo:populationTotal ?pop },N,0,0,1,0,0,0,N
236,N,Was ist das letzte Arbeit von Und Braun? ,0,0,0,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?book WHERE { { ?book dbo:author dbr:Dan_Brown . ?book dbp:releaseDate ?date } UNION { ?book dbo:author dbr:Dan_Brown . ?book dbo:publicationDate ?date} } ORDER BY DESC(xsd:date(?date)) LIMIT 1,N,0,0,0,0,0,0,N
238,N,Wer ist das Autor von das Deutung von Traeume? ,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?Author WHERE { dbr:The_Interpretation_of_Dreams dbo:author ?Author },N,0,0,1,0,0,0,N
239,N,Wann war das Tod von Shakespeare? ,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?x WHERE { dbr:William_Shakespeare dbo:deathDate ?x } LIMIT 1,N,0,0,1,0,0,0,N
242,N,Woher ist das Ursprung von Carolina Sensenmann? ,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?uri WHERE { dbr:Carolina_Reaper dbo:origin ?uri},N,0,0,1,0,0,0,N
245,WORK,Hieß die Frau von Praesident Lincoln Mary?,0,1,0,"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> ASK WHERE { res:Abraham_Lincoln dbo:spouse ?spouse . ?spouse rdfs:label ?name FILTER regex(?name, ""Mary"") }",SELECT ?Answer WHERE { <http://dbpedia.org/resource/Mary_Todd_Lincoln> <http://dbpedia.org/ontology/spouse> ?Answer .},0,1,0,0,0,0,WORK
249,N,Liste alle Musicals mit Musik von Elton John auf,0,0,5,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Musical ; dbo:musicBy res:Elton_John },N,0,0,5,0,0,0,N
254,WORK,Wer war die Frau von US-Praesident Lincoln?,0,2,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:spouse ?uri },SELECT ?Answer WHERE { <http://dbpedia.org/resource/Thomas_Lincoln> <http://dbpedia.org/ontology/spouse> ?Answer .},0,2,1,0,0,0,WORK
264,N,Wer war der Nachfolger von John F Kennedy?,0,0,3,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:John_F._Kennedy dbo:successor ?uri },N,0,0,3,0,0,0,N
265,N,Wer ist Buergermeister von Paris?,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Paris dbo:mayor ?uri },N,0,0,1,0,0,0,N
271,N,Aus welchem Land kommt der Erfinder von Nijntje?,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Miffy dbo:creator ?x . ?x dbo:nationality ?uri },N,0,0,1,0,0,0,N
275,N,Liste die Kinder von Margaret Thatcher auf,0,0,2,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Margaret_Thatcher dbo:child ?uri },N,0,0,2,0,0,0,N
276,N,Aus welcher Region ist der Melon de Bourgogne?,0,0,4,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Melon_de_Bourgogne dbo:wineRegion ?uri },N,0,0,4,0,0,0,N
278,N,Wie groß ist das gesamt Bereich von Norden Rhein- Westfalen? ,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?tarea WHERE { dbr:North_Rhine-Westphalia dbo:areaTotal ?tarea },N,0,0,1,0,0,0,N
281,N,Wann werden Anfang das Finale Spiel von das Fußball Welt Tasse 2018? ,0,0,1,PREFIX dbr: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT ?Date WHERE { dbr:2018_FIFA_World_Cup dbp:date ?Date } ORDER BY DESC(?Date) LIMIT 1,N,0,0,1,0,0,0,N
285,N,Wer ist der Buergermeister der Hauptstadt von Franzoesisch-Polynesien?,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:French_Polynesia dbo:capital ?x . ?x dbo:mayor ?uri },N,0,0,1,0,0,0,N
286,N,"Gib mir alle Schauspieler von Filmen, in denen William Shatner Regie gefuehrt hat",0,0,18,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?x dbo:director res:William_Shatner ; dbo:starring ?uri },N,0,0,18,0,0,0,N
288,N,Wie viel ist das Population Dichte Rang von Deutschland? ,0,0,1,PREFIX dbr: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT ?rank WHERE { dbr:Germany dbp:populationDensityRank ?rank },N,0,0,1,0,0,0,N
291,N,Was ist die Amtssprache Von Surinam?,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Suriname dbo:officialLanguage ?uri },N,0,0,1,0,0,0,N
296,N,Gib mir alle Bandmitglieder von Prodigy,0,0,3,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:The_Prodigy dbo:bandMember ?uri },N,0,0,3,0,0,0,N
299,N,Wer sind das Schriftsteller von das Mauer Album von Rosa Floyd? ,0,0,0,PREFIX dbr: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT ?writers WHERE { dbr:The_Wall dbp:writer ?writers },N,0,0,0,0,0,0,N
300,N,Wer ist der Buergermeister von Rotterdam?,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Rotterdam dbo:leaderName ?uri },N,0,0,1,0,0,0,N
310,N,Welcher Partei gehoert die Buergermeisterin von Paris an?,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Paris dbo:mayor ?x . ?x dbo:party ?uri },N,0,0,1,0,0,0,N
313,N,Gib mir den Geburtsort von Frank Sinatra,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?place WHERE { res:Frank_Sinatra dbo:birthPlace ?place },N,0,0,1,0,0,0,N
315,N,Wer ist der Sohn von Sonny und Cher?,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:parent res:Cher ; dbo:parent res:Sonny_Bono },N,0,0,1,0,0,0,N
317,WORK,Was ist die Hauptstadt von Kamerun?,0,2,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Cameroon dbo:capital ?uri },SELECT ?Answer WHERE { <http://dbpedia.org/resource/Kamerun> <http://dbpedia.org/ontology/capital> ?Answer .},0,2,1,0,0,0,WORK
320,N,Wer ist das aelteste Kind von Meryl Streep?,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Meryl_Streep dbo:child ?uri . ?uri dbo:birthDate ?d } ORDER BY ASC(?d) OFFSET 0 LIMIT 1,N,0,0,1,0,0,0,N
337,N,Wer war der Doktorvater von Albert Einstein?,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Albert_Einstein dbo:doctoralAdvisor ?uri },N,0,0,1,0,0,0,N
345,N,Wer spielt alles in spanischen Filmen produziert von Benicio del Toro mit? ,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?film rdf:type dbo:Film ; dbo:country res:Spain ; dbo:producer res:Benicio_del_Toro ; dbo:starring ?uri . ?uri rdf:type dbo:Person },N,0,0,1,0,0,0,N
353,WORK,"Was ist die Gesamteinwohnerzahl von Melbourne, Florida?",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/> SELECT ?uri WHERE { <http://dbpedia.org/resource/Melbourne,_Florida> dbo:populationTotal ?uri }",SELECT ?Answer WHERE { <http://dbpedia.org/resource/Melbourne> <http://dbpedia.org/ontology/populationTotal> ?Answer .},0,1,1,0,0,0,WORK
367,WORK,Gib mir die Enkel von Elvis Presley,0,2,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Elvis_Presley dbo:child ?child . ?child dbo:child ?uri },SELECT ?Answer WHERE { <http://dbpedia.org/resource/Lisa_Marie_Presley> <http://dbpedia.org/ontology/parent> ?Answer .},0,2,1,0,0,0,WORK
369,N,An welchen militaerischen Auseinandersetzungen war Lawrence von Arabien beteiligt?,0,0,6,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:T._E._Lawrence dbo:battle ?uri },N,0,0,6,0,0,0,N
371,WORK,Gib mir alle Buecher von William Goldman mit mehr als 300 Seiten,0,1,10,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Book ; dbo:author res:William_Goldman ; dbo:numberOfPages ?x FILTER ( ?x > 300 ) },SELECT ?Answer WHERE { <http://dbpedia.org/resource/Still_William> <http://dbpedia.org/ontology/author> ?Answer .},0,1,10,0,0,0,WORK
373,N,Welche Tochtergesellschaft von Lufthansa fliegt sowohl Dortmund als auch Berlin Tegel an?,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Lufthansa dbo:subsidiary ?uri . ?uri dbo:targetAirport res:Dortmund_Airport ; dbo:targetAirport res:Berlin_Tegel_Airport },N,0,0,1,0,0,0,N
376,WORK,Ist Michelle Obama die Ehefrau von Barack Obama?,0,1,0,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:Barack_Obama dbo:spouse res:Michelle_Obama },SELECT ?Answer WHERE { <http://dbpedia.org/resource/Barack_Obama> <http://dbpedia.org/ontology/spouse> ?Answer .},0,1,0,0,0,0,WORK
378,N,Welche Buecher von Kerouac wurden von Viking Press verlegt?,0,0,3,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Book ; dbo:publisher res:Viking_Press ; dbo:author res:Jack_Kerouac },N,0,0,3,0,0,0,N
380,N,Was ist die Hauptstadt von Kanada?,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Canada dbo:capital ?uri },N,0,0,1,0,0,0,N
381,N,Wer ist der Buergermeister von Tel Aviv?,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Tel_Aviv dbo:leaderName ?uri },N,0,0,1,0,0,0,N
393,N,Was sind die fuenf Stadtteile von New York?,0,0,5,PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { ?uri dbo:governmentType <http://dbpedia.org/resource/Borough_(New_York_City)> },N,0,0,5,0,0,0,N
398,N,Wer ist der Praesident von Eritrea?,0,0,1,"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Eritrea dbo:leader ?uri ; dbo:leaderTitle ""President""@en }",N,0,0,1,0,0,0,N
405,WORK,Ist Rita Wilson die Ehefrau von Tom Hanks?,0,1,0,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:Tom_Hanks dbo:spouse res:Rita_Wilson },SELECT ?Answer WHERE { <http://dbpedia.org/resource/Tom_Hanks> <http://dbpedia.org/ontology/spouse> ?Answer .},0,1,0,0,0,0,WORK
407,N,Welcher von Tim Burtons Filmen hatte das hoechste Budget?,0,0,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:director res:Tim_Burton ; dbo:budget ?b } ORDER BY ?b OFFSET 0 LIMIT 1,N,0,0,1,0,0,0,N
,,,22,16,13072,,,22,16,13072,0.57894737,0.0016801589,0.0033505943,
,,,,,,,,,,,0.012254902,0.012254902,0.012254902,
